name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,sport_class,url
AAJIM Munkhbat,AAJIM M,Male,1989-01-25,,,Mongolia,MGL,Judo,JUD,,,B3,../../../en/results/judo/athlete-profile-n1725243-aajim-munkhbat.htm
ABARZA Alberto,ABARZA A,Male,1984-12-11,SANTIAGO,Chile,Chile,CHI,Swimming,SWM,CHILE,,S2,../../../en/results/swimming/athlete-profile-n1347418-abarza-alberto.htm
ABASLI Namig,ABASLI N,Male,1997-09-12,,,Azerbaijan,AZE,Judo,JUD,SUMQAYIT,Azerbaijan,B2,../../../en/results/judo/athlete-profile-n1287410-abasli-namig.htm
ABASSI Mostefa,ABASSI M,Male,1977-09-25,DJELFA,Algeria,Algeria,ALG,Wheelchair Basketball,WBK,SAINT-JORY,France,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1375083-abassi-mostefa.htm
ABBAD Abderraouf,ABBAD A,Male,1986-10-27,ROUIBA,Algeria,Algeria,ALG,Wheelchair Basketball,WBK,ALGIERS,Algeria,1.0,../../../en/results/wheelchair-basketball/athlete-profile-n1375096-abbad-abderraouf.htm
ABDALLA Ashraf,ABDALLA A,Male,1974-02-24,AL FAYYUM,Egypt,Egypt,EGY,Sitting Volleyball,VBS,CAIRO,Egypt,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1706815-abdalla-ashraf.htm
ABDELALI Samiha,ABDELALI S,Female,1988-04-25,OUARGLA,Algeria,Algeria,ALG,Wheelchair Basketball,WBK,OUARGLA,Algeria,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1363523-abdelali-samiha.htm
ABDELAZIZ Gihan,ABDELAZIZ G,Female,1974-10-29,GIZA,Egypt,Egypt,EGY,Powerlifting,PWL,,,PWL,../../../en/results/powerlifting/athlete-profile-n1706596-abdelaziz-gihan.htm
ABDELHADY Hany,ABDELHADY H,Male,1980-05-19,CAIRO,Egypt,Egypt,EGY,Powerlifting,PWL,CAIRO,Egypt,PWL,../../../en/results/powerlifting/athlete-profile-n1465669-abdelhady-hany.htm
ABDELLAOUI Cherine,ABDELLAOUI C,Female,1998-08-28,,,Algeria,ALG,Judo,JUD,,,B3,../../../en/results/judo/athlete-profile-n1373730-abdellaoui-cherine.htm
ABDELLATIF Abdelnaby,ABDELLATIF A,Male,1972-06-18,,,Egypt,EGY,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1706600-abdellatif-abdelnaby.htm
ABDELLI Rima,ABDELLI R,Female,1988-02-24,MADANIN,Tunisia,Tunisia,TUN,Athletics,ATH,SFAX,Tunisia,F40,../../../en/results/athletics/athlete-profile-n1362092-abdelli-rima.htm
ABDELMAJID Taha,ABDELMAJID T,Male,1987-06-08,,Egypt,Egypt,EGY,Powerlifting,PWL,SHUBRA AL KHAYMAH,Egypt,PWL,../../../en/results/powerlifting/athlete-profile-n1465019-abdelmajid-taha.htm
ABDELSHAFI Malak,ABDELSHAFI M,Female,2003-03-11,CAIRO,Egypt,Egypt,EGY,Swimming,SWM,CAIRO,Egypt,SB4,../../../en/results/swimming/athlete-profile-n1497726-abdelshafi-malak.htm
ABDI Hassan,ABDI H,Male,1985-11-22,MASHHAD,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Wheelchair Basketball,WBK,MASHHAD,Islamic Republic of Iran,2.0,../../../en/results/wheelchair-basketball/athlete-profile-n1515748-abdi-hassan.htm
ABDULKHABIBOV Azizbek,ABDULKHABIBOV A,Male,1993-12-16,,Uzbekistan,Uzbekistan,UZB,Canoe Sprint,CSP,FERGANA,Uzbekistan,KL2,../../../en/results/canoe-sprint/athlete-profile-n1645189-abdulkhabibov-azizbek.htm
ABDULLAKHANLI Kanan,ABDULLAKHANLI K,Male,1987-07-02,,Azerbaijan,Azerbaijan,AZE,Judo,JUD,,,B3,../../../en/results/judo/athlete-profile-n1285557-abdullakhanli-kanan.htm
ABDULRAHEEM Kovan,ABDULRAHEEM K,Male,1988-03-01,DUHOK,Iraq,Iraq,IRQ,Athletics,ATH,DUHOK,Iraq,F41,../../../en/results/athletics/athlete-profile-n1504345-abdulraheem-kovan.htm
ABDYKHALYKOVA Gulbanu,ABDYKHALYKOVA G,Female,1972-09-15,TALDYKORGAN,Kazakhstan,Kazakhstan,KAZ,Powerlifting,PWL,TALDYKORGAN,Kazakhstan,PWL,../../../en/results/powerlifting/athlete-profile-n1717191-abdykhalykova-gulbanu.htm
ABE Chisato,ABE C,Female,1978-10-25,TAKAMATSU,Japan,Japan,JPN,Wheelchair Fencing,WFE,TAKAMATSU,Japan,B,../../../en/results/wheelchair-fencing/athlete-profile-n1718912-abe-chisato.htm
ABIDAR Mohamed,ABIDAR M,Male,1990-04-21,,Libya,Libya,LBA,Taekwondo,TKW,,,K44,../../../en/results/taekwondo/athlete-profile-n1735779-abidar-mohamed.htm
ABIDOGUN Ola,ABIDOGUN O,Male,1993-08-03,ILFORD,Great Britain,Great Britain,GBR,Athletics,ATH,BOLTON,Great Britain,T47,../../../en/results/athletics/athlete-profile-n1727806-abidogun-ola.htm
ABILKHASSYMKYZY Saltanat,ABILKHASSYMKYZY S,Female,2000-01-14,TARAZ,Kazakhstan,Kazakhstan,KAZ,Athletics,ATH,TARAZ,Kazakhstan,T35,../../../en/results/athletics/athlete-profile-n1568388-abilkhassymkyzy-saltanat.htm
ABLINGER Walter,ABLINGER W,Male,1969-05-12,SCHARDING,Austria,Austria,AUT,Cycling Road,CRD,RAINBACH,Austria,H3,../../../en/results/cycling-road/athlete-profile-n1341400-ablinger-walter.htm
ABOHEGAZY Salma,ABOHEGAZY S,Female,2003-04-10,,,Egypt,EGY,Taekwondo,TKW,,,K44,../../../en/results/taekwondo/athlete-profile-n1542540-abohegazy-salma.htm
ABOUELKHIR Metawa,ABOUELKHIR M,Male,1976-10-20,KAFR ASH SHAYKH,Egypt,Egypt,EGY,Sitting Volleyball,VBS,EGYPT,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1706811-abouelkhir-metawa.htm
ABOUELYAZEID Mohamed,ABDALLA M,Male,1979-03-29,,,Egypt,EGY,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1706775-abouelyazeid-mohamed.htm
ABRAHAM de DEUS Michel Gustavo,ABRAHAM de DEUS MG,Male,1997-11-03,MAUA,Brazil,Brazil,BRA,Athletics,ATH,TAUBATE,Brazil,T46,../../../en/results/athletics/athlete-profile-n1362230-abraham-de-deus-michel-gustavo.htm
ABRAHAM GEBRU Daniel,ABRAHAM GEBRU D,Male,1985-02-11,,Eritrea,Netherlands,NED,Cycling Road,CRD,AMSTELVEEN,Netherlands,C5,../../../en/results/cycling-road/athlete-profile-n1708816-abraham-gebru-daniel.htm
ABRAHAM GEBRU Daniel,ABRAHAM GEBRU D,Male,1985-02-11,,Eritrea,Netherlands,NED,Cycling Track,CTR,AMSTELVEEN,Netherlands,C5,../../../en/results/cycling-track/athlete-profile-n1708816-abraham-gebru-daniel.htm
ABRAHAMS David Henry,ABRAHAMS DH,Male,2001-05-03,,,United States of America,USA,Swimming,SWM,"HAVERTOWN, PA",United States of America,"S13,SB13,SM13",../../../en/results/swimming/athlete-profile-n1690672-abrahams-david-henry.htm
ABSHIR OMAR Mahdi,ABSHIR OMAR M,Male,1989-05-04,,,Somalia,SOM,Athletics,ATH,,,F57,../../../en/results/athletics/athlete-profile-n1738734-abshir-omar-mahdi.htm
ABU AWAD Khetam,ABU AWAD K,Female,1974-10-08,AZ ZARQA,Jordan,Jordan,JOR,Table Tennis,TTE,AMMAN,Jordan,5,../../../en/results/table-tennis/athlete-profile-n1358537-abu-awad-khetam.htm
ABUD CORONADO Jose Manuel,ABUD CORONADO JM,Male,1974-10-26,FANTINO,Dominican Republic,Dominican Republic,DOM,Powerlifting,PWL,SPAIN,,PWL,../../../en/results/powerlifting/athlete-profile-n1638563-abud-coronado-jose-manuel.htm
ABUZARLI Abulfaz,ABUZARLI A,Male,1991-08-04,BAKU,Azerbaijan,Azerbaijan,AZE,Taekwondo,TKW,BAKU,Azerbaijan,K44,../../../en/results/taekwondo/athlete-profile-n1286165-abuzarli-abulfaz.htm
ACAR Deniz,ACAR D,Male,1976-01-09,AYDIN,Turkey,Turkey,TUR,Wheelchair Basketball,WBK,,,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1729595-acar-deniz.htm
ACCARDI Federico,ACCARDI F,Male,1989-06-26,MENDOZA,Argentina,Argentina,ARG,Football 5-a-side,FB5,,,B1,../../../en/results/football-5-a-side/athlete-profile-n1690089-accardi-federico.htm
ACEITUNO Herbert,ACEITUNO H,Male,1985-11-01,SAN SALVADOR,El Salvador,El Salvador,ESA,Powerlifting,PWL,EL SALVADOR,,PWL,../../../en/results/powerlifting/athlete-profile-n1459259-aceituno-herbert.htm
ACEVES PEREZ Haidee Viviana,ACEVES PEREZ HV,Female,1993-03-23,GUADALAJARA,Mexico,Mexico,MEX,Swimming,SWM,,,S3,../../../en/results/swimming/athlete-profile-n1363384-aceves-perez-haidee-viviana.htm
ACHENZA Giovanni,ACHENZA G,Male,1971-07-31,OZIERI,Italy,Italy,ITA,Triathlon,TRI,ITALY,,PTWC1,../../../en/results/triathlon/athlete-profile-n1615046-achenza-giovanni.htm
ACOSTA MANJARRES Yamil David,ACOSTA MANJARRES Y,Male,1997-10-17,RIOHACHA,Colombia,Colombia,COL,Athletics,ATH,BOGOTA,Colombia,T12,../../../en/results/athletics/athlete-profile-n1361652-acosta-manjarres-yamil-david.htm
ACOSTA RODRIGUEZ Adolfo,ACOSTA RODRIGUEZ A,Male,1981-05-19,LAS PALMAS DE GRAN CANARIA,Spain,Spain,ESP,Football 5-a-side,FB5,MADRID,Spain,B1,../../../en/results/football-5-a-side/athlete-profile-n1448810-acosta-rodriguez-adolfo.htm
ACOSTA SOTO Omar Jose,ACOSTA SOTO OJ,Male,2000-05-18,CARTAGENA,Colombia,Colombia,COL,Athletics,ATH,CARTAGENA,Colombia,T36,../../../en/results/athletics/athlete-profile-n1353543-acosta-soto-omar-jose.htm
ADALSTEINSDOTTIR Bergrun Osk,ADALSTEINSDOTTIR B,Female,2000-09-18,REYKJAVIK,Iceland,Iceland,ISL,Athletics,ATH,REYKJAVIK,Iceland,"T37,F37",../../../en/results/athletics/athlete-profile-n1466935-adalsteinsdottir-bergrun-osk.htm
ADAMI Zsanett,ADAMI Z,Female,1994-12-20,BUDAPEST,Hungary,Hungary,HUN,Swimming,SWM,,,S2,../../../en/results/swimming/athlete-profile-n1728685-adami-zsanett.htm
ADAMS Lisa,ADAMS L,Female,1990-11-18,ROTORUA,New Zealand,New Zealand,NZL,Athletics,ATH,ROTORUA,New Zealand,F37,../../../en/results/athletics/athlete-profile-n1616440-adams-lisa.htm
ADDESI Pierpaolo,ADDESI P,Male,1976-06-29,MARIANO COMENSE,Italy,Italy,ITA,Cycling Road,CRD,TORREVECCHIA TEATINA,Italy,C5,../../../en/results/cycling-road/athlete-profile-n1687161-addesi-pierpaolo.htm
ADDISON Tamsin,ADDISON T,Female,1973-02-05,,Great Britain,Ireland,IRL,Equestrian,EQU,HIGH WYCOMBE,Great Britain,GV,../../../en/results/equestrian/athlete-profile-n1305701-addison-tamsin.htm
ADENEGAN Kare,ADENEGAN K,Female,2000-12-29,COVENTRY,Great Britain,Great Britain,GBR,Athletics,ATH,COVENTRY,Great Britain,T34,../../../en/results/athletics/athlete-profile-n1727770-adenegan-kare.htm
ADESOKAN Yakubu,ADESOKAN Y,Male,1979-07-16,IBADAN,Nigeria,Nigeria,NGR,Powerlifting,PWL,,,PWL,../../../en/results/powerlifting/athlete-profile-n1590694-adesokan-yakubu.htm
ADLER Anja,ADLER A,Female,1989-04-14,HALLE,Germany,Germany,GER,Canoe Sprint,CSP,HALLE,Germany,KL2,../../../en/results/canoe-sprint/athlete-profile-n1366811-adler-anja.htm
ADOLPHE Timothee,ADOLPHE T,Male,1989-12-29,VERSAILLES,France,France,FRA,Athletics,ATH,,,T11,../../../en/results/athletics/athlete-profile-n1358165-adolphe-timothee.htm
ADONINA Daria,ADONINA D,Female,2002-11-13,,,RPC,RPC,Boccia,BOC,ST. PETERSBURG,Russian Federation,BC4,../../../en/results/boccia/athlete-profile-n1302739-adonina-daria.htm
ADZHAMETOVA Leilia,ADZHAMETOVA L,Female,1994-03-09,,Uzbekistan,Ukraine,UKR,Athletics,ATH,KHARKIV,Ukraine,T13,../../../en/results/athletics/athlete-profile-n1310733-adzhametova-leilia.htm
AERE Katia,AERE K,Female,1971-08-28,,,Italy,ITA,Cycling Road,CRD,SPILIMBERGO,Italy,H5,../../../en/results/cycling-road/athlete-profile-n1687162-aere-katia.htm
AFRI Mahdi,AFRI M,Male,1996-01-01,,,Morocco,MAR,Athletics,ATH,CASABLANCA,Morocco,T12,../../../en/results/athletics/athlete-profile-n1439553-afri-mahdi.htm
AFROOZ Saeid,AFROOZ S,Male,1990-12-13,JIROFT,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Athletics,ATH,JIROFT,Islamic Republic of Iran,F34,../../../en/results/athletics/athlete-profile-n1516156-afrooz-saeid.htm
AGALAKOV Roman,AGALAKOV R,Male,1995-01-09,KONAKOVO,Russian Federation,Kazakhstan,KAZ,Swimming,SWM,SHYMKENT,Kazakhstan,S13,../../../en/results/swimming/athlete-profile-n1570089-agalakov-roman.htm
AGBLEMAGNON Gloria,AGBLEMAGNON G,Female,1997-12-10,VIERZON,France,France,FRA,Athletics,ATH,ORLEANS,France,F20,../../../en/results/athletics/athlete-profile-n1358121-agblemagnon-gloria.htm
AGRIPINO dos SANTOS Julio Cesar,AGRIPINO dos SANT.,Male,1991-01-17,DIADEMA,Brazil,Brazil,BRA,Athletics,ATH,ITAPECERICA DA SERRA,Brazil,T11,../../../en/results/athletics/athlete-profile-n1361177-agripino-dos-santos-julio-cesar.htm
AGUILAR CARMONA Vicente,AGUILAR CARMONA V,Male,1970-04-10,VALENCIA,Spain,Spain,ESP,Football 5-a-side,FB5,MADRID,Spain,B1,../../../en/results/football-5-a-side/athlete-profile-n1448811-aguilar-carmona-vicente.htm
AGUILERA CRUZ Ulicer,AGUILERA CRUZ U,Male,1989-09-29,BANES,Cuba,Cuba,CUB,Athletics,ATH,BANES,Cuba,F13,../../../en/results/athletics/athlete-profile-n1326225-aguilera-cruz-ulicer.htm
AGUNBIADE Tajudeen,AGUNBIADE T,Male,1975-05-25,,,Nigeria,NGR,Table Tennis,TTE,,,9,../../../en/results/table-tennis/athlete-profile-n1638589-agunbiade-tajudeen.htm
AHLQUIST Anna Carin,AHLQUIST AC,Female,1972-06-05,GOTHENBURG,Sweden,Sweden,SWE,Table Tennis,TTE,GOTHENBURG,Sweden,3,../../../en/results/table-tennis/athlete-profile-n1457364-ahlquist-anna-carin.htm
AHMAD TARMIZI Zuhairi,AHMAD TARMIZI Z.,Male,1990-07-26,MARANG,Malaysia,Malaysia,MAS,Cycling Road,CRD,,,C5,../../../en/results/cycling-road/athlete-profile-n1401589-ahmad-tarmizi-zuhairi.htm
AHMAD TARMIZI Zuhairie,ZUHAIRI A. TARMIZI,Male,1990-07-26,MARANG,Malaysia,Malaysia,MAS,Cycling Track,CTR,,,C5,../../../en/results/cycling-track/athlete-profile-n1401589-ahmad-tarmizi-zuhairie.htm
AHMADI Amirreza,AHMADI A,Male,2000-10-16,ILAM,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Wheelchair Basketball,WBK,ILAM,Islamic Republic of Iran,3.5,../../../en/results/wheelchair-basketball/athlete-profile-n1558433-ahmadi-amirreza.htm
AHMED Aya,AHMED A,Female,1995-12-06,,,Egypt,EGY,Goalball,GBL,,,B1,../../../en/results/goalball/athlete-profile-n1709054-ahmed-aya.htm
AHMED Mohamed,AHMED M,Male,1982-01-08,GHARBIA,Egypt,Egypt,EGY,Powerlifting,PWL,,,PWL,../../../en/results/powerlifting/athlete-profile-n1466217-ahmed-mohamed.htm
AHMED Rehab,AHMED R,Female,1991-03-02,CAIRO,Egypt,Egypt,EGY,Powerlifting,PWL,CAIRO,Egypt,PWL,../../../en/results/powerlifting/athlete-profile-n1457950-ahmed-rehab.htm
AI Xinliang,AI X,Male,1997-05-19,,,People's Republic of China,CHN,Archery,ARC,,,W2,../../../en/results/archery/athlete-profile-n1718048-ai-xinliang.htm
AINGCHAIYAPHUM Phuchit,AINGCHAIYAPHUM P,Male,2001-08-31,,Thailand,Thailand,THA,Swimming,SWM,BANGKOK,Thailand,S5,../../../en/results/swimming/athlete-profile-n1726115-aingchaiyaphum-phuchit.htm
AIT AL HAKEM Abdellali,AIT AL HAKEM A,Male,1993-11-15,,,Morocco,MAR,Football 5-a-side,FB5,,,GK,../../../en/results/football-5-a-side/athlete-profile-n1725774-ait-al-hakem-abdellali.htm
AIT BAJJA Elhabib,AIT BAJJA E,Male,1998-02-25,,,Morocco,MAR,Football 5-a-side,FB5,MARRAKECH,Morocco,B1,../../../en/results/football-5-a-side/athlete-profile-n1484373-ait-bajja-elhabib.htm
AITCHISON Danielle,AITCHISON D,Female,2001-08-16,MORRINSVILLE,New Zealand,New Zealand,NZL,Athletics,ATH,,,T36,../../../en/results/athletics/athlete-profile-n1616439-aitchison-danielle.htm
AJEET SINGH,AJEET SINGH,Male,1993-09-05,,,India,IND,Athletics,ATH,GWALIOR,India,F46,../../../en/results/athletics/athlete-profile-n1641934-ajeet-singh.htm
AKAI Daiki,AKAI D,Male,1999-03-12,KASHIHARA,Japan,Japan,JPN,Athletics,ATH,KASHIHARA,Japan,T20,../../../en/results/athletics/athlete-profile-n1726870-akai-daiki.htm
AKAISHI Ryuga,AKAISHI R,Male,2000-09-11,SAITAMA,Japan,Japan,JPN,Wheelchair Basketball,WBK,,,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1716612-akaishi-ryuga.htm
AKAKURA Sachie,AKAKURA S,Female,1974-04-30,,,Japan,JPN,Sitting Volleyball,VBS,KYOTO,Japan,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1708765-akakura-sachie.htm
AKASH,AKASH,Male,1990-07-12,BAGHPAT,India,India,IND,Shooting,SHO,BAGHPAT,India,SH1,../../../en/results/shooting/athlete-profile-n1727040-akash.htm
AKBAR Komet,AKBAR K,Male,1986-01-10,,Indonesia,Indonesia,INA,Table Tennis,TTE,,,10,../../../en/results/table-tennis/athlete-profile-n1722354-akbar-komet.htm
AKBULUT Oguz,AKBULUT O,Male,1992-05-06,TOKAT,Turkey,Turkey,TUR,Athletics,ATH,,,T12,../../../en/results/athletics/athlete-profile-n1729610-akbulut-oguz.htm
AKERMACH Rajae,AKERMACH R,Female,1997-07-15,RABAT,Morocco,Morocco,MAR,Taekwondo,TKW,LEIPZIG,Germany,K44,../../../en/results/taekwondo/athlete-profile-n1477902-akermach-rajae.htm
AKHMATKHONOVA Dilafruzkhon,AKHMATKHONOVA D,Female,1990-06-23,,,Uzbekistan,UZB,Athletics,ATH,FERGANA,Uzbekistan,F35,../../../en/results/athletics/athlete-profile-n1725502-akhmatkhonova-dilafruzkhon.htm
AKITA Kei,AKITA K,Male,1990-02-22,,Japan,Japan,JPN,Wheelchair Basketball,WBK,,,3.5,../../../en/results/wheelchair-basketball/athlete-profile-n1716613-akita-kei.htm
AKKAYA Hakan,AKKAYA H,Male,1995-03-07,,,Turkey,TUR,Wheelchair Fencing,WFE,,,A,../../../en/results/wheelchair-fencing/athlete-profile-n1729597-akkaya-hakan.htm
AKSOY Ridvan,AKSOY R,Male,2000-02-02,,,Turkey,TUR,Wheelchair Basketball,WBK,KONAK,Turkey,1.0,../../../en/results/wheelchair-basketball/athlete-profile-n1729904-aksoy-ridvan.htm
AKSOY Vedat,AKSOY V,Male,1988-03-20,,,Turkey,TUR,Archery,ARC,,,W2,../../../en/results/archery/athlete-profile-n1729545-aksoy-vedat.htm
AL HARRASI Taha,AL HARRASI T,Male,1993-10-10,MUSCAT,Oman,Oman,OMA,Athletics,ATH,MUSCAT,Oman,T36,../../../en/results/athletics/athlete-profile-n1459244-al-harrasi-taha.htm
AL HUSSEIN Ibrahim,AL HUSSEIN I,Male,1988-09-23,DAYR AZ ZAWR,Syrian Arab Republic,RPT,RPT,Swimming,SWM,ATHENS,Greece,"SB8,S9",../../../en/results/swimming/athlete-profile-n1721562-al-hussein-ibrahim.htm
AL KHALIFA Anas,AL KHALIFA A,Male,1993-04-06,HAMAH,Syrian Arab Republic,RPT,RPT,Canoe Sprint,CSP,HALLE,Germany,"KL1,VL2",../../../en/results/canoe-sprint/athlete-profile-n1721234-al-khalifa-anas.htm
AL MASHAYKHI Mohammed,AL MASHAYKHI M,Male,1991-03-07,,Oman,Oman,OMA,Athletics,ATH,,,F32,../../../en/results/athletics/athlete-profile-n1459235-al-mashaykhi-mohammed.htm
AL-AGEELI Faris,AL-AGEELI F,Male,1974-05-20,MOSUL,Iraq,Iraq,IRQ,Powerlifting,PWL,MOSUL,Iraq,PWL,../../../en/results/powerlifting/athlete-profile-n1483819-al-ageeli-faris.htm
ALAMAR GARCIA Sergio,ALAMAR GARCIA S,Male,2000-10-20,VALENCIA,Spain,Spain,ESP,Football 5-a-side,FB5,ALICANTE,Spain,B1,../../../en/results/football-5-a-side/athlete-profile-n1464205-alamar-garcia-sergio.htm
ALARYANI Abdulla Saif,ALARYANI AS,Male,1975-12-08,AL AIN,United Arab Emirates,United Arab Emirates,UAE,Shooting,SHO,,,SH1,../../../en/results/shooting/athlete-profile-n1307866-alaryani-abdulla-saif.htm
ALARYANI Abdulla Sultan,ALARYANI AS,Male,1970-08-12,AL AIN,United Arab Emirates,United Arab Emirates,UAE,Shooting,SHO,,,SH1,../../../en/results/shooting/athlete-profile-n1307864-alaryani-abdulla-sultan.htm
ALBERTSDOTTIR Arna,ALBERTSDOTTIR A,Female,1990-06-08,,Iceland,Iceland,ISL,Cycling Road,CRD,KOPAVOGUR,Iceland,H3,../../../en/results/cycling-road/athlete-profile-n1476932-albertsdottir-arna.htm
ALBRECHT Dominik,ALBRECHT D,Male,1987-04-12,BOCHOLT,Germany,Germany,GER,Sitting Volleyball,VBS,,,VS2,../../../en/results/sitting-volleyball/athlete-profile-n1378208-albrecht-dominik.htm
ALBRECHT Jens Eicke,ALBRECHT JE,Male,1991-06-02,ROTENBURG AN DER FULDA,Germany,Germany,GER,Wheelchair Basketball,WBK,ERFURT,Germany,3.0,../../../en/results/wheelchair-basketball/athlete-profile-n1379520-albrecht-jens-eicke.htm
ALBURY Simon,ALBURY S,Male,1982-05-09,"BRISBANE, QLD",Australia,Australia,AUS,Rowing,ROW,,,PR2,../../../en/results/rowing/athlete-profile-n1713835-albury-simon.htm
ALCALDE RODRIGUEZ Roberto,ALCALDE RODRIGUEZ,Male,1992-01-14,BAGE,Brazil,Brazil,BRA,Swimming,SWM,BAGE,Brazil,"SB5,SM6",../../../en/results/swimming/athlete-profile-n1361245-alcalde-rodriguez-roberto.htm
ALCAZAR FIGUEROA Matilde Estefania,ALCAZAR FIGUEROA M,Female,1995-09-03,MEXICO CITY,Mexico,Mexico,MEX,Swimming,SWM,,,"S11,SM11",../../../en/results/swimming/athlete-profile-n1363339-alcazar-figueroa-matilde-estefania.htm
ALCOBA MEMBRILLA Maria Montserrat,ALCOBA MEMBRILLA M,Female,1981-06-23,SABADELL,Spain,Spain,ESP,Powerlifting,PWL,,,PWL,../../../en/results/powerlifting/athlete-profile-n1464208-alcoba-membrilla-maria-montserrat.htm
ALCOTT Dylan,ALCOTT D,Male,1990-12-04,"MELBOURNE, VIC",Australia,Australia,AUS,Wheelchair Tennis,WTE,"MELBOURNE, VIC",Australia,QT,../../../en/results/wheelchair-tennis/athlete-profile-n1407270-alcott-dylan.htm
AL-DARRAJI Ali,AL-DARRAJI A,Male,1981-10-11,BAGHDAD,Iraq,Iraq,IRQ,Powerlifting,PWL,BAGHDAD,Iraq,PWL,../../../en/results/powerlifting/athlete-profile-n1908931-al-darraji-ali.htm
ALDAYYENI Najlah,ALDAYYENI N,Female,2004-12-01,,,Iraq,IRQ,Table Tennis,TTE,,,6,../../../en/results/table-tennis/athlete-profile-n1307154-aldayyeni-najlah.htm
ALEJOS ALONSO Agustin,ALEJOS ALONSO A,Male,1987-11-08,VIGO,Spain,Spain,ESP,Wheelchair Basketball,WBK,VIGO,Spain,4.5,../../../en/results/wheelchair-basketball/athlete-profile-n1464202-alejos-alonso-agustin.htm
ALENCON Katell,ALENCON K,Female,1986-10-09,BREST,France,France,FRA,Cycling Road,CRD,LE DRENNEC,France,C4,../../../en/results/cycling-road/athlete-profile-n1358093-alencon-katell.htm
ALEXANDER Natalie,ALEXANDER N,Female,1991-04-06,,,Australia,AUS,Wheelchair Basketball,WBK,"PERTH, WA",Australia,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1425527-alexander-natalie.htm
ALGANAIDL Fahad,ALGANAIDL F,Male,1984-09-23,RIYADH,Saudi Arabia,Saudi Arabia,KSA,Athletics,ATH,,,T53,../../../en/results/athletics/athlete-profile-n1309403-alganaidl-fahad.htm
ALHAJAJ Tharwh Tayseer Hamdan,ALHAJAJ TTH,Female,1973-01-01,AMMAN,Jordan,Jordan,JOR,Powerlifting,PWL,AMMAN,Jordan,PWL,../../../en/results/powerlifting/athlete-profile-n1358534-alhajaj-tharwh-tayseer-hamdan.htm
ALHAMMADI Mohamed,ALHAMMADI M,Male,1985-07-13,,United Arab Emirates,United Arab Emirates,UAE,Athletics,ATH,,,T34,../../../en/results/athletics/athlete-profile-n1307113-alhammadi-mohamed.htm
ALHASAN Fatema,ALHASAN F,Female,1977-10-10,,Syrian Arab Republic,Syrian Arab Republic,SYR,Powerlifting,PWL,DAMASCUS,Syrian Arab Republic,PWL,../../../en/results/powerlifting/athlete-profile-n1391037-alhasan-fatema.htm
ALI Amany,ALI A,Female,1976-03-02,KALYUBIA,Egypt,Egypt,EGY,Powerlifting,PWL,,,PWL,../../../en/results/powerlifting/athlete-profile-n1524751-ali-amany.htm
ALI Ammar,ALI A,Male,1985-04-28,BASRA,Iraq,Iraq,IRQ,Wheelchair Fencing,WFE,BAGHDAD,Iraq,B,../../../en/results/wheelchair-fencing/athlete-profile-n1601121-ali-ammar.htm
ALI Haider,ALI H,Male,1984-12-12,GUJRANWALA,Pakistan,Pakistan,PAK,Athletics,ATH,GUJRANWALA,Pakistan,F37,../../../en/results/athletics/athlete-profile-n1708913-ali-haider.htm
ALI Huda,ALI H,Female,1977-03-03,BAGHDAD,Iraq,Iraq,IRQ,Powerlifting,PWL,BAGHDAD,Iraq,PWL,../../../en/results/powerlifting/athlete-profile-n1716768-ali-huda.htm
ALI POUR Meisam,ALI POUR M,Male,1989-06-13,BANDAR-E ANZALI,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS,BANDAR-E ANZALI,Islamic Republic of Iran,VS2,../../../en/results/sitting-volleyball/athlete-profile-n1561894-ali-pour-meisam.htm
ALIBASIC Safet,ALIBASIC S,Male,1982-12-21,TUZLA,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1762597-alibasic-safet.htm
ALIBOEVA Vasila,ALIBOEVA V,Female,1995-03-22,,,Uzbekistan,UZB,Judo,JUD,SAMARKAND,Uzbekistan,B3,../../../en/results/judo/athlete-profile-n1689919-aliboeva-vasila.htm
ALIEKSEIENKO Oleksandr,ALIEKSEIENKO O,Male,1983-11-16,,,Israel,ISR,Athletics,ATH,KARMIEL,Israel,F34,../../../en/results/athletics/athlete-profile-n1293205-aliekseienko-oleksandr.htm
