name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,sport_class,url
MIRANDA HERRERA Nely,MIRANDA HERRERA N,Female,1972-08-02,PUEBLA,Mexico,Mexico,MEX,Swimming,SWM,VERACRUZ,Mexico,"S4,SM4,SB3",../../../en/results/swimming/athlete-profile-n1363333-miranda-herrera-nely.htm
MIRZAEVA Shakhnoza,MIRZAEVA S,Female,1999-05-22,,Uzbekistan,Uzbekistan,UZB,Canoe Sprint,CSP,UZBEKISTAN,,KL3,../../../en/results/canoe-sprint/athlete-profile-n1612197-mirzaeva-shakhnoza.htm
MIRZAYOROVA Asila,MIRZAYOROVA A,Female,1999-07-03,,Uzbekistan,Uzbekistan,UZB,Athletics,ATH,,,T11,../../../en/results/athletics/athlete-profile-n1727375-mirzayorova-asila.htm
MIRZOKHIDOVA Nigorakhon,MIRZOKHIDOVA N,Female,2001-12-17,TASHKENT,Uzbekistan,Uzbekistan,UZB,Swimming,SWM,TASHKENT,Uzbekistan,"S13,SB13,SM13",../../../en/results/swimming/athlete-profile-n1705790-mirzokhidova-nigorakhon.htm
MISHUROVA Irina,MISHUROVA I,Female,1993-07-13,MOSCOW,Russian Federation,RPC,RPC,Wheelchair Fencing,WFE,MOSCOW,Russian Federation,B,../../../en/results/wheelchair-fencing/athlete-profile-n1329066-mishurova-irina.htm
MISPELKAMP Regine,MISPELKAMP R,Female,1970-12-09,,Germany,Germany,GER,Equestrian,EQU,,,GV,../../../en/results/equestrian/athlete-profile-n1365318-mispelkamp-regine.htm
MITCHELL Cassie,MITCHELL C,Female,1981-06-08,"MUSKOGEE, OK",United States of America,United States of America,USA,Athletics,ATH,,,F51,../../../en/results/athletics/athlete-profile-n1662379-mitchell-cassie.htm
MIURA Hiroshi,MIURA H,Male,1964-10-14,TOKYO,Japan,Japan,JPN,Powerlifting,PWL,TOKYO,Japan,PWL,../../../en/results/powerlifting/athlete-profile-n1709506-miura-hiroshi.htm
MIYAJI Mitsuhide,MIYAJI M,Male,1957-10-29,KAGOSHIMA,Japan,Japan,JPN,Equestrian,EQU,KONAN,Japan,GII,../../../en/results/equestrian/athlete-profile-n1690015-miyaji-mitsuhide.htm
MIYAJIKI Koji,MIYAJIKI K,Male,1995-03-20,SUITA,Japan,Japan,JPN,Goalball,GBL,TOKYO,Japan,B3,../../../en/results/goalball/athlete-profile-n1687813-miyajiki-koji.htm
MIYAJIMA Tetsuya,MIYAJIMA T,Male,1988-11-29,TONAMI,Japan,Japan,JPN,Wheelchair Basketball,WBK,,,4.0,../../../en/results/wheelchair-basketball/athlete-profile-n1716627-miyajima-tetsuya.htm
MIYAMOTO Leon,MIYAMOTO L,Male,1983-11-14,ICHIKAWA,Japan,Japan,JPN,Archery,ARC,TOKYO,Japan,ST,../../../en/results/archery/athlete-profile-n1680170-miyamoto-leon.htm
MIYAZAKI Satoru,MIYAZAKI S,Male,1992-08-19,SAPPORO,Japan,Japan,JPN,Swimming,SWM,SAPPORO,Japan,S14,../../../en/results/swimming/athlete-profile-n1720287-miyazaki-satoru.htm
MIZRAHI Or,MIZRAHI O,Female,1993-05-07,,,Israel,ISR,Goalball,GBL,HOLON,Israel,B3,../../../en/results/goalball/athlete-profile-n1289631-mizrahi-or.htm
MIZUTA Mika,MIZUTA M,Female,1997-08-27,MACHIDA,Japan,Japan,JPN,Shooting,SHO,MACHIDA,Japan,SH2,../../../en/results/shooting/athlete-profile-n1688209-mizuta-mika.htm
MOEBIUS Moritz Alexander,MOEBIUS MA,Male,1998-11-21,GENGENBACH,Germany,Germany,GER,Shooting,SHO,ZELL,Germany,SH2,../../../en/results/shooting/athlete-profile-n1400296-moebius-moritz-alexander.htm
MOESCU Eduard Mihaita,MOESCU EM,Male,1985-11-16,,,Romania,ROU,Cycling Road,CRD,MILAN,Italy,C2,../../../en/results/cycling-road/athlete-profile-n1722257-moescu-eduard-mihaita.htm
MOESCU Eduard Mihaita,MOESCU EM,Male,1985-11-16,,,Romania,ROU,Cycling Track,CTR,MILAN,Italy,C2,../../../en/results/cycling-track/athlete-profile-n1722257-moescu-eduard-mihaita.htm
MOFOKENG Tebogo,MOFOKENG T,Male,2000-05-05,,,South Africa,RSA,Athletics,ATH,SOUTH AFRICA,,T62,../../../en/results/athletics/athlete-profile-n1340693-mofokeng-tebogo.htm
MOGGE Juliane,MOGGE J,Female,1990-03-05,KASSEL,Germany,Germany,GER,Athletics,ATH,GELSENKIRCHEN,Germany,F36,../../../en/results/athletics/athlete-profile-n1312874-mogge-juliane.htm
MOGOS Ionela Andreea,MOGOS IA,Female,1988-06-02,VASLUI,Romania,Italy,ITA,Wheelchair Fencing,WFE,,,A,../../../en/results/wheelchair-fencing/athlete-profile-n1649563-mogos-ionela-andreea.htm
MOGUCHAIA Aleksandra,MOGUCHAIA A,Female,1990-08-18,SEVERODVINSK,Russian Federation,RPC,RPC,Athletics,ATH,MOSCOW,Russian Federation,T46,../../../en/results/athletics/athlete-profile-n1353696-moguchaia-aleksandra.htm
MOHAMAD ARIFFIN Siti Noor Iasah,MOHAMAD ARIFFIN S,Female,1989-09-22,,Malaysia,Malaysia,MAS,Athletics,ATH,JOHOR BAHRU,Malaysia,T20,../../../en/results/athletics/athlete-profile-n1494490-mohamad-ariffin-siti-noor-iasah.htm
MOHAMAD Mohamad,MOHAMAD M,Male,1984-01-10,DAMASCUS,Syrian Arab Republic,Syrian Arab Republic,SYR,Athletics,ATH,DAMASCUS,Syrian Arab Republic,F57,../../../en/results/athletics/athlete-profile-n1386816-mohamad-mohamad.htm
MOHAMAD PUZI Mohamad Ridzuan,MOHAMAD PUZI MR,Male,1987-09-27,,,Malaysia,MAS,Athletics,ATH,KUALA LUMPUR,Malaysia,T36,../../../en/results/athletics/athlete-profile-n1392687-mohamad-puzi-mohamad-ridzuan.htm
MOHAMAD YASLI Nur Aini,MOHAMAD YASLI NA,Female,1992-03-05,,Singapore,Singapore,SGP,Powerlifting,PWL,SINGAPORE,,PWL,../../../en/results/powerlifting/athlete-profile-n1687739-mohamad-yasli-nur-aini.htm
MOHAMMAD NEZHAD Mohammad,MOHAMMAD NEZHAD M,Male,1992-01-30,QOM,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Wheelchair Basketball,WBK,QOM,Islamic Republic of Iran,1.0,../../../en/results/wheelchair-basketball/athlete-profile-n1558308-mohammad-nezhad-mohammad.htm
MOHAMMADI Mahdi,MOHAMMADI M,Male,1992-07-22,,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Cycling Road,CRD,ZANJAN,Islamic Republic of Iran,C5,../../../en/results/cycling-road/athlete-profile-n1709581-mohammadi-mahdi.htm
MOHAMMADI Mahdi,MOHAMMADI M,Male,1992-07-22,,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Cycling Track,CTR,ZANJAN,Islamic Republic of Iran,C5,../../../en/results/cycling-track/athlete-profile-n1709581-mohammadi-mahdi.htm
MOHAMMADIAN Sajad,MOHAMMADIAN S,Male,1983-11-15,KHORRAMABAD,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Athletics,ATH,,,F42,../../../en/results/athletics/athlete-profile-n1572191-mohammadian-sajad.htm
MOHD ZAIS Nur Azlia Syafinaz,MOHD ZAIS NAS,Female,1998-04-14,BUTTERWORTH,Malaysia,Malaysia,MAS,Cycling Road,CRD,,,B,../../../en/results/cycling-road/athlete-profile-n1401634-mohd-zais-nur-azlia-syafinaz.htm
MOHD ZAIS Nur Azlia Syafinaz,NUR AZLIA,Female,1998-04-14,BUTTERWORTH,Malaysia,Malaysia,MAS,Cycling Track,CTR,,,B,../../../en/results/cycling-track/athlete-profile-n1401634-mohd-zais-nur-azlia-syafinaz.htm
MOHSIN Rasool,MOHSIN R,Male,1987-11-17,BAGHDAD,Iraq,Iraq,IRQ,Powerlifting,PWL,,,PWL,../../../en/results/powerlifting/athlete-profile-n1483821-mohsin-rasool.htm
MOKHTARI HEMAMI Alireza,MOKHTARI HEMAMI A,Male,1977-10-24,ESFAHAN,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Athletics,ATH,ESFAHAN,Islamic Republic of Iran,F53,../../../en/results/athletics/athlete-profile-n1566226-mokhtari-hemami-alireza.htm
MOKO Juliana Ngleya,MOKO JN,Female,2000-06-20,BENGUELA,Angola,Angola,ANG,Athletics,ATH,BENGUELA,Angola,T11,../../../en/results/athletics/athlete-profile-n1615199-moko-juliana-ngleya.htm
MOLINA GOMEZ Andres Esteban,MOLINA GOMEZ AE,Male,1988-03-07,,,Costa Rica,CRC,Taekwondo,TKW,,,K44,../../../en/results/taekwondo/athlete-profile-n1798205-molina-gomez-andres-esteban.htm
MOLINA Samuel,MOLINA S,Male,1982-01-06,APATZINGAN,Mexico,Mexico,MEX,Archery,ARC,URUAPAN,Mexico,W2,../../../en/results/archery/athlete-profile-n1584322-molina-samuel.htm
MOLKOV Aleksandr,MOLKOV A,Male,1987-06-23,KHOKHLOMA,Russian Federation,RPC,RPC,Swimming,SWM,BALAKHNA,Russian Federation,SB4,../../../en/results/swimming/athlete-profile-n1325645-molkov-aleksandr.htm
MOLLIENS Stephane,MOLLIENS S,Male,1974-09-23,ARRAS,France,France,FRA,Table Tennis,TTE,,,2,../../../en/results/table-tennis/athlete-profile-n1360366-molliens-stephane.htm
MOMME Kaare,MOMME K,Male,1992-03-28,,,Denmark,DEN,Wheelchair Rugby,WRU,AARHUS,Denmark,1.5,../../../en/results/wheelchair-rugby/athlete-profile-n1449626-momme-kaare.htm
MONAHAN Patrick,MONAHAN P,Male,1986-01-14,DUBLIN,Ireland,Ireland,IRL,Athletics,ATH,KILDARE,Ireland,T53,../../../en/results/athletics/athlete-profile-n1301455-monahan-patrick.htm
MONTEIRO Beatriz,MONTEIRO B,Female,2005-12-23,LISBON,Portugal,Portugal,POR,Badminton,BDM,CALDAS DA RAINHA,Portugal,SU5,../../../en/results/badminton/athlete-profile-n1286264-monteiro-beatriz.htm
MONTEIRO Miguel,MONTEIRO M,Male,2000-12-23,VISEU,Portugal,Portugal,POR,Athletics,ATH,MANGUALDE,Portugal,F40,../../../en/results/athletics/athlete-profile-n1304178-monteiro-miguel.htm
MONTENEGRO BATISTA LINS Ana Raquel,MONTENEGRO BATIST.,Female,1991-03-11,NATAL,Brazil,Brazil,BRA,Cycling Road,CRD,NATAL,Brazil,C5,../../../en/results/cycling-road/athlete-profile-n1361384-montenegro-batista-lins-ana-raquel.htm
MONTENEGRO BATISTA LINS Ana Raquel,MONTENEGRO BATIST.,Female,1991-03-11,NATAL,Brazil,Brazil,BRA,Cycling Track,CTR,NATAL,Brazil,C5,../../../en/results/cycling-track/athlete-profile-n1361384-montenegro-batista-lins-ana-raquel.htm
MONTIEL CORTIJO Almudena,MONTIEL CORTIJO A,Female,1991-05-07,MALAGA,Spain,Spain,ESP,Wheelchair Basketball,WBK,ALBACETE,Spain,2.0,../../../en/results/wheelchair-basketball/athlete-profile-n1448783-montiel-cortijo-almudena.htm
MONTILLA VERA Jose Gregorio,MONTILLA VERA JG,Male,2000-09-25,CARACAS,Venezuela,Venezuela,VEN,Swimming,SWM,CARACAS,Venezuela,SB2,../../../en/results/swimming/athlete-profile-n1440936-montilla-vera-jose-gregorio.htm
MONTJANE Kgothatso,MONTJANE K,Female,1986-06-03,POLOKWANE,South Africa,South Africa,RSA,Wheelchair Tennis,WTE,PRETORIA,South Africa,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1361342-montjane-kgothatso.htm
MONTVYDAS Nerijus,MONTVYDAS N,Male,1985-01-21,VILNIUS,Lithuania,Lithuania,LTU,Goalball,GBL,VILNIUS,Lithuania,B1,../../../en/results/goalball/athlete-profile-n1725197-montvydas-nerijus.htm
MOODY Bailey,MOODY B,Female,2001-11-16,"ATLANTA, GA",United States of America,United States of America,USA,Wheelchair Basketball,WBK,,,4.0,../../../en/results/wheelchair-basketball/athlete-profile-n1691710-moody-bailey.htm
MOON Aeekyung,MOON A,Female,1968-11-07,,,Republic of Korea,KOR,Shooting,SHO,,,SH1,../../../en/results/shooting/athlete-profile-n1719491-moon-aeekyung.htm
MOON Sung Keum,MOON SK,Female,1968-11-20,SEOSAN,Republic of Korea,Republic of Korea,KOR,Table Tennis,TTE,ASAN,Republic of Korea,6,../../../en/results/table-tennis/athlete-profile-n1709533-moon-sung-keum.htm
MOORE Charlotte,MOORE C,Female,1998-09-13,COVENTRY,Great Britain,Great Britain,GBR,Wheelchair Basketball,WBK,COVENTRY,Great Britain,1.0,../../../en/results/wheelchair-basketball/athlete-profile-n1717412-moore-charlotte.htm
MOOS Nele,MOOS N,Female,2001-11-23,DUISBURG,Germany,Germany,GER,Athletics,ATH,DUISBURG,Germany,T38,../../../en/results/athletics/athlete-profile-n1385398-moos-nele.htm
MORAES Guilherme,MORAES G,Male,1990-08-03,MOGI DAS CRUZES,Brazil,Brazil,BRA,Boccia,BOC,MOGI DAS CRUZES,Brazil,BC1,../../../en/results/boccia/athlete-profile-n1338089-moraes-guilherme.htm
MORAL PEDRERO Eva Maria,MORAL PEDRERO EM,Female,1982-07-30,MADRID,Spain,Spain,ESP,Triathlon,TRI,,,PTWC1,../../../en/results/triathlon/athlete-profile-n1449075-moral-pedrero-eva-maria.htm
MORALES Jordi,MORALES J,Male,1985-11-17,BARCELONA,Spain,Spain,ESP,Table Tennis,TTE,SANT ANDREU DE LA BARCA,Spain,7,../../../en/results/table-tennis/athlete-profile-n1548818-morales-jordi.htm
MORCH Emmanuelle,MORCH E,Female,1990-07-04,LES ULIS,France,France,FRA,Wheelchair Tennis,WTE,GIF-SUR-YVETTE,France,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1358149-morch-emmanuelle.htm
MOREAU Charles,MOREAU C,Male,1982-04-11,"VICTORVILLE, CA",United States of America,Canada,CAN,Cycling Road,CRD,"VICTORIAVILLE, QC",Canada,H3,../../../en/results/cycling-road/athlete-profile-n1525739-moreau-charles.htm
MOREL Ruth Sylvie,MOREL RS,Female,1956-09-02,,,Canada,CAN,Wheelchair Fencing,WFE,,,A,../../../en/results/wheelchair-fencing/athlete-profile-n1562269-morel-ruth-sylvie.htm
MORELLI Efrem,MORELLI E,Male,1979-11-25,CREMA,Italy,Italy,ITA,Swimming,SWM,,,"SM4,SB3",../../../en/results/swimming/athlete-profile-n1683492-morelli-efrem.htm
MORELLI Shawn,MORELLI S,Female,1976-03-29,"GREENVILLE, PA",United States of America,United States of America,USA,Cycling Road,CRD,UNITED STATES,,C4,../../../en/results/cycling-road/athlete-profile-n1690572-morelli-shawn.htm
MORELLI Shawn,MORELLI S,Female,1976-03-29,"GREENVILLE, PA",United States of America,United States of America,USA,Cycling Track,CTR,UNITED STATES,,C4,../../../en/results/cycling-track/athlete-profile-n1690572-morelli-shawn.htm
MORENO Leomon,MORENO L,Male,1993-08-21,BRASILIA,Brazil,Brazil,BRA,Goalball,GBL,BRASILIA,Brazil,B1,../../../en/results/goalball/athlete-profile-n1352380-moreno-leomon.htm
MORENO Maria Florencia,MORENO MF,Female,1989-05-02,BUENOS AIRES,Argentina,Argentina,ARG,Wheelchair Tennis,WTE,BUENOS AIRES,Argentina,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1419294-moreno-maria-florencia.htm
MORGANTI Sara,MORGANTI S,Female,1976-03-21,CASTELNUOVO DI GARFAGNANA,Italy,Italy,ITA,Equestrian,EQU,,,GI,../../../en/results/equestrian/athlete-profile-n1678972-morganti-sara.htm
MORILLO GIL Naibys Daniela,MORILLO GIL ND,Female,2000-03-05,CARORA,Venezuela,Venezuela,VEN,Athletics,ATH,SAN FELIPE,Venezuela,F46,../../../en/results/athletics/athlete-profile-n1394742-morillo-gil-naibys-daniela.htm
MORIN Lenaig,MORIN L,Female,1991-06-22,RENNES,France,France,FRA,Badminton,BDM,FOUGERES,France,SL4,../../../en/results/badminton/athlete-profile-n1358157-morin-lenaig.htm
MORKVYCH Nataliia,MORKVYCH N,Female,1992-01-15,LVIV,Ukraine,Ukraine,UKR,Wheelchair Fencing,WFE,LVIV,Ukraine,A,../../../en/results/wheelchair-fencing/athlete-profile-n1379402-morkvych-nataliia.htm
MORLACCHI Federico,MORLACCHI F,Male,1993-11-11,LUINO,Italy,Italy,ITA,Swimming,SWM,LUINO,Italy,"S9,SB8,SM9",../../../en/results/swimming/athlete-profile-n1683655-morlacchi-federico.htm
MOROISHI Mitsuteru,MOROISHI M,Male,1967-04-11,KONAN,Japan,Japan,JPN,Wheelchair Tennis,WTE,KAKAMIGAHARA,Japan,QT,../../../en/results/wheelchair-tennis/athlete-profile-n1376529-moroishi-mitsuteru.htm
MORRISON Conner,MORRISON C,Male,1997-08-26,,,Great Britain,GBR,Swimming,SWM,TURRIFF,Great Britain,SB14,../../../en/results/swimming/athlete-profile-n1725332-morrison-conner.htm
MORTENSEN Jakob,MORTENSEN J,Male,1996-11-20,VEJEN,Denmark,Denmark,DEN,Wheelchair Rugby,WRU,AARHUS,Denmark,2.5,../../../en/results/wheelchair-rugby/athlete-profile-n1449628-mortensen-jakob.htm
MOSAAD Amr,MOSAAD A,Male,1992-04-22,CAIRO,Egypt,Egypt,EGY,Powerlifting,PWL,GIZA,Egypt,PWL,../../../en/results/powerlifting/athlete-profile-n1466244-mosaad-amr.htm
MOSHKOVICH Svetlana,MOSHKOVICH S,Female,1983-06-04,KRASNOYARSK,Russian Federation,RPC,RPC,Cycling Road,CRD,MOSCOW,Russian Federation,H4,../../../en/results/cycling-road/athlete-profile-n1309025-moshkovich-svetlana.htm
MOSHKOVSKAIA Ekaterina,MOSHKOVSKAIA E,Female,1996-12-05,MURMANSK,Russian Federation,RPC,RPC,Rowing,ROW,ST. PETERSBURG,Russian Federation,PR3-B2,../../../en/results/rowing/athlete-profile-n1303286-moshkovskaia-ekaterina.htm
MOSKALENKO Anastasiia,MOSKALENKO A,Female,2000-08-16,DNIPRO,Ukraine,Ukraine,UKR,Athletics,ATH,DNIPRO,Ukraine,F32,../../../en/results/athletics/athlete-profile-n1311595-moskalenko-anastasiia.htm
MOSNICKA Tomas,MOSNICKA T,Male,1966-12-06,PRIBRAM,Czech Republic,Czech Republic,CZE,Cycling Road,CRD,CZECH REPUBLIC,,H3,../../../en/results/cycling-road/athlete-profile-n1443870-mosnicka-tomas.htm
MOSQUERA Adrian,MOSQUERA A,Male,1996-07-24,RIANXO,Spain,Spain,ESP,Canoe Sprint,CSP,,,"KL3,VL3",../../../en/results/canoe-sprint/athlete-profile-n1448848-mosquera-adrian.htm
MOTA ECHARRY Belkis Dayanara,MOTA ECHARRY BD,Female,1982-11-29,CARACAS,Venezuela,Venezuela,VEN,Swimming,SWM,CUENCA,Ecuador,"SB12,S12",../../../en/results/swimming/athlete-profile-n1381838-mota-echarry-belkis-dayanara.htm
MOTAGHIAN MOAVI Hashemiyeh,MOTAGHIAN MOAVI H,Female,1986-05-22,,,Islamic Republic of Iran,IRI,Athletics,ATH,,,F56,../../../en/results/athletics/athlete-profile-n1566172-motaghian-moavi-hashemiyeh.htm
MOUAMBAKO Emmanuel Grace,MOUAMBAKO EG,Male,1988-09-21,BRAZZAVILLE,Congo,Congo,CGO,Athletics,ATH,BRAZZAVILLE,Congo,T11,../../../en/results/athletics/athlete-profile-n1365760-mouambako-emmanuel-grace.htm
MOUKAGNI MOUKAGNI Davy Rendhel,MOUKAGNI MOUKAGNI,Male,1991-05-02,LIBREVILLE,Gabon,Gabon,GAB,Athletics,ATH,LIBREVILLE,Gabon,T46,../../../en/results/athletics/athlete-profile-n1616688-moukagni-moukagni-davy-rendhel.htm
MOULAM Beth,MOULAM B,Female,1994-04-01,,,Great Britain,GBR,Boccia,BOC,YORK,Great Britain,BC3,../../../en/results/boccia/athlete-profile-n1698802-moulam-beth.htm
MOULD Toni,MOULD T,Female,1983-12-08,PLETTENBERGBAAI,South Africa,South Africa,RSA,Cycling Road,CRD,STELLENBOSCH,South Africa,T1,../../../en/results/cycling-road/athlete-profile-n1302847-mould-toni.htm
MOURA Leylane,MOURA L,Female,1994-03-07,RECIFE,Brazil,Brazil,BRA,Athletics,ATH,,,F33,../../../en/results/athletics/athlete-profile-n1376426-moura-leylane.htm
MOURAO Norberto,MOURAO N,Male,1980-10-29,VILA REAL,Portugal,Portugal,POR,Canoe Sprint,CSP,VILA REAL,Portugal,VL2,../../../en/results/canoe-sprint/athlete-profile-n1286157-mourao-norberto.htm
MOURIZ DOPICO David,MOURIZ DOPICO D,Male,1982-12-31,NARON,Spain,Spain,ESP,Wheelchair Basketball,WBK,BILBAO,Spain,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1531779-mouriz-dopico-david.htm
