medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Gold Medal,1,2021-08-25 00:00:00.0,BANGMA T,BANGMA Tristan,M,../../../en/results/cycling-track/athlete-profile-n1708828-bangma-tristan.htm,Men's B 4000m Individual Pursuit,Netherlands,NED,Cycling Track,CTR
Silver Medal,2,2021-08-25 00:00:00.0,BATE S,BATE Stephen,M,../../../en/results/cycling-track/athlete-profile-n1720651-bate-stephen.htm,Men's B 4000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Bronze Medal,3,2021-08-25 00:00:00.0,POLAK M,POLAK Marcin,M,../../../en/results/cycling-track/athlete-profile-n1376963-polak-marcin.htm,Men's B 4000m Individual Pursuit,Poland,POL,Cycling Track,CTR
Gold Medal,1,2021-08-25 00:00:00.0,GRECO P,GRECO Paige,W,../../../en/results/cycling-track/athlete-profile-n1404419-greco-paige.htm,Women's C1-3 3000m Individual Pursuit,Australia,AUS,Cycling Track,CTR
Silver Medal,2,2021-08-25 00:00:00.0,WANG X,WANG Xiaomei,W,../../../en/results/cycling-track/athlete-profile-n1711571-wang-xiaomei.htm,Women's C1-3 3000m Individual Pursuit,People's Republic of China,CHN,Cycling Track,CTR
Bronze Medal,3,2021-08-25 00:00:00.0,SCHINDLER D,SCHINDLER Denise,W,../../../en/results/cycling-track/athlete-profile-n1443536-schindler-denise.htm,Women's C1-3 3000m Individual Pursuit,Germany,GER,Cycling Track,CTR
Gold Medal,1,2021-08-25 00:00:00.0,PETRICOLA E,PETRICOLA Emily,W,../../../en/results/cycling-track/athlete-profile-n1404422-petricola-emily.htm,Women's C4 3000m Individual Pursuit,Australia,AUS,Cycling Track,CTR
Silver Medal,2,2021-08-25 00:00:00.0,MORELLI S,MORELLI Shawn,W,../../../en/results/cycling-track/athlete-profile-n1690572-morelli-shawn.htm,Women's C4 3000m Individual Pursuit,United States of America,USA,Cycling Track,CTR
Bronze Medal,3,2021-08-25 00:00:00.0,SHAW K,SHAW Keely,W,../../../en/results/cycling-track/athlete-profile-n1525746-shaw-keely.htm,Women's C4 3000m Individual Pursuit,Canada,CAN,Cycling Track,CTR
Gold Medal,1,2021-08-25 00:00:00.0,STOREY S,DAME STOREY Sarah,W,../../../en/results/cycling-track/athlete-profile-n1720652-dame-storey-sarah.htm,Women's C5 3000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Silver Medal,2,2021-08-25 00:00:00.0,LANE-WRIGHT C,LANE-WRIGHT Crystal,W,../../../en/results/cycling-track/athlete-profile-n1720666-lane-wright-crystal.htm,Women's C5 3000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Bronze Medal,3,2021-08-25 00:00:00.0,PATOUILLET M,PATOUILLET Marie,W,../../../en/results/cycling-track/athlete-profile-n1358095-patouillet-marie.htm,Women's C5 3000m Individual Pursuit,France,FRA,Cycling Track,CTR
Gold Medal,1,2021-08-25 00:00:00.0,SHALABI I,SHALABI Iyad,M,../../../en/results/swimming/athlete-profile-n1282649-shalabi-iyad.htm,Men's 100m Backstroke - S1,Israel,ISR,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,KOL A,KOL Anton,M,../../../en/results/swimming/athlete-profile-n1347434-kol-anton.htm,Men's 100m Backstroke - S1,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,BETTELLA F,BETTELLA Francesco,M,../../../en/results/swimming/athlete-profile-n1684313-bettella-francesco.htm,Men's 100m Backstroke - S1,Italy,ITA,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,ABARZA A,ABARZA Alberto,M,../../../en/results/swimming/athlete-profile-n1347418-abarza-alberto.htm,Men's 100m Backstroke - S2,Chile,CHI,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,dos SANTOS ARAUJO,dos SANTOS ARAUJO Gabriel Geraldo,M,../../../en/results/swimming/athlete-profile-n1377418-dos-santos-araujo-gabriel-geraldo.htm,Men's 100m Backstroke - S2,Brazil,BRA,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,DANILENKO V,DANILENKO Vladimir,M,../../../en/results/swimming/athlete-profile-n1309699-danilenko-vladimir.htm,Men's 100m Backstroke - S2,RPC,RPC,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,BOKI I,BOKI Ihar,M,../../../en/results/swimming/athlete-profile-n1336276-boki-ihar.htm,Men's 100m Butterfly - S13,Belarus,BLR,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,VIRCHENKO O,VIRCHENKO Oleksii,M,../../../en/results/swimming/athlete-profile-n1341589-virchenko-oleksii.htm,Men's 100m Butterfly - S13,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,ASLANOV I,ASLANOV Islam,M,../../../en/results/swimming/athlete-profile-n1705394-aslanov-islam.htm,Men's 100m Butterfly - S13,Uzbekistan,UZB,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,BANDEIRA G,BANDEIRA Gabriel,M,../../../en/results/swimming/athlete-profile-n1616079-bandeira-gabriel.htm,Men's 100m Butterfly - S14,Brazil,BRA,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,DUNN R,DUNN Reece,M,../../../en/results/swimming/athlete-profile-n1725322-dunn-reece.htm,Men's 100m Butterfly - S14,Great Britain,GBR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,HANCE BJ,HANCE Benjamin James,M,../../../en/results/swimming/athlete-profile-n1713841-hance-benjamin-james.htm,Men's 100m Butterfly - S14,Australia,AUS,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,POPHAM B,POPHAM Ben,M,../../../en/results/swimming/athlete-profile-n1498347-popham-ben.htm,Men's 100m Freestyle - S8,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,NIKOLAEV A,NIKOLAEV Andrei,M,../../../en/results/swimming/athlete-profile-n1325647-nikolaev-andrei.htm,Men's 100m Freestyle - S8,RPC,RPC,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,MICHALENTZAKIS D,MICHALENTZAKIS Dimosthenis,M,../../../en/results/swimming/athlete-profile-n1720527-michalentzakis-dimosthenis.htm,Men's 100m Freestyle - S8,Greece,GRE,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,BOCCIARDO F,BOCCIARDO Francesco,M,../../../en/results/swimming/athlete-profile-n1683357-bocciardo-francesco.htm,Men's 200m Freestyle - S5,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,PONCE BERTRAN A,PONCE BERTRAN Antoni,M,../../../en/results/swimming/athlete-profile-n1448841-ponce-bertran-antoni.htm,Men's 200m Freestyle - S5,Spain,ESP,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,de FARIA DIAS D,de FARIA DIAS Daniel,M,../../../en/results/swimming/athlete-profile-n1361234-de-faria-dias-daniel.htm,Men's 200m Freestyle - S5,Brazil,BRA,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,MARTIN W,MARTIN William,M,../../../en/results/swimming/athlete-profile-n1498336-martin-william.htm,Men's 400m Freestyle - S9,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,DIDIER U,DIDIER Ugo,M,../../../en/results/swimming/athlete-profile-n1358040-didier-ugo.htm,Men's 400m Freestyle - S9,France,FRA,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,TUCKFIELD A,TUCKFIELD Alexander,M,../../../en/results/swimming/athlete-profile-n1498357-tuckfield-alexander.htm,Men's 400m Freestyle - S9,Australia,AUS,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,ZHDANOV R,ZHDANOV Roman,M,../../../en/results/swimming/athlete-profile-n1309709-zhdanov-roman.htm,Men's 50m Breaststroke - SB3,RPC,RPC,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,LUQUE M,LUQUE Miguel,M,../../../en/results/swimming/athlete-profile-n1448832-luque-miguel.htm,Men's 50m Breaststroke - SB3,Spain,ESP,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,SUZUKI T,SUZUKI Takayuki,M,../../../en/results/swimming/athlete-profile-n1720245-suzuki-takayuki.htm,Men's 50m Breaststroke - SB3,Japan,JPN,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,CROTHERS R,CROTHERS Rowan,M,../../../en/results/swimming/athlete-profile-n1498314-crothers-rowan.htm,Men's 50m Freestyle - S10,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,KRYPAK M,KRYPAK Maksym,M,../../../en/results/swimming/athlete-profile-n1347466-krypak-maksym.htm,Men's 50m Freestyle - S10,Ukraine,UKR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,MELO RODRIGUES PA,MELO RODRIGUES Phelipe Andrews,M,../../../en/results/swimming/athlete-profile-n1361243-melo-rodrigues-phelipe-andrews.htm,Men's 50m Freestyle - S10,Brazil,BRA,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,YIP PX,YIP Pin Xiu,W,../../../en/results/swimming/athlete-profile-n1628546-yip-pin-xiu.htm,Women's 100m Backstroke - S2,Singapore,SGP,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,YAMADA M,YAMADA Miyuki,W,../../../en/results/swimming/athlete-profile-n1720296-yamada-miyuki.htm,Women's 100m Backstroke - S2,Japan,JPN,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,RAMIREZ F,RAMIREZ Fabiola,W,../../../en/results/swimming/athlete-profile-n1354980-ramirez-fabiola.htm,Women's 100m Backstroke - S2,Mexico,MEX,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,GILLI C,GILLI Carlotta,W,../../../en/results/swimming/athlete-profile-n1683497-gilli-carlotta.htm,Women's 100m Butterfly - S13,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,BERRA A,BERRA Alessia,W,../../../en/results/swimming/athlete-profile-n1684309-berra-alessia.htm,Women's 100m Butterfly - S13,Italy,ITA,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,PIKALOVA D,PIKALOVA Daria,W,../../../en/results/swimming/athlete-profile-n1325654-pikalova-daria.htm,Women's 100m Butterfly - S13,RPC,RPC,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,SHABALINA V,SHABALINA Valeriia,W,../../../en/results/swimming/athlete-profile-n1325678-shabalina-valeriia.htm,Women's 100m Butterfly - S14,RPC,RPC,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,LEONHARDT P,LEONHARDT Paige,W,../../../en/results/swimming/athlete-profile-n1498332-leonhardt-paige.htm,Women's 100m Butterfly - S14,Australia,AUS,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,STORM R,STORM Ruby,W,../../../en/results/swimming/athlete-profile-n1498353-storm-ruby.htm,Women's 100m Butterfly - S14,Australia,AUS,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,ZHANG L,ZHANG Li,W,../../../en/results/swimming/athlete-profile-n1707454-zhang-li.htm,Women's 200m Freestyle - S5,People's Republic of China,CHN,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,KEARNEY T,KEARNEY Tully,W,../../../en/results/swimming/athlete-profile-n1725305-kearney-tully.htm,Women's 200m Freestyle - S5,Great Britain,GBR,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,BOGGIONI M,BOGGIONI Monica,W,../../../en/results/swimming/athlete-profile-n1683894-boggioni-monica.htm,Women's 200m Freestyle - S5,Italy,ITA,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,PATTERSON L,PATTERSON Lakeisha,W,../../../en/results/swimming/athlete-profile-n1498343-patterson-lakeisha.htm,Women's 400m Freestyle - S9,Australia,AUS,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,KONKOLY Z,KONKOLY Zsofia,W,../../../en/results/swimming/athlete-profile-n1728680-konkoly-zsofia.htm,Women's 400m Freestyle - S9,Hungary,HUN,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,SHAW T,SHAW Toni,W,../../../en/results/swimming/athlete-profile-n1725337-shaw-toni.htm,Women's 400m Freestyle - S9,Great Britain,GBR,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,GONTAR A,GONTAR Anastasiia,W,../../../en/results/swimming/athlete-profile-n1309692-gontar-anastasiia.htm,Women's 50m Freestyle - S10,RPC,RPC,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,ZIJDERVELD C,ZIJDERVELD Chantalle,W,../../../en/results/swimming/athlete-profile-n1706390-zijderveld-chantalle.htm,Women's 50m Freestyle - S10,Netherlands,NED,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,RIVARD A,RIVARD Aurelie,W,../../../en/results/swimming/athlete-profile-n1543772-rivard-aurelie.htm,Women's 50m Freestyle - S10,Canada,CAN,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,MERESHKO Y,MERESHKO Yelyzaveta,W,../../../en/results/swimming/athlete-profile-n1341424-mereshko-yelyzaveta.htm,Women's 50m Freestyle - S6,Ukraine,UKR,Swimming,SWM
Silver Medal,2,2021-08-25 00:00:00.0,MARKS E,MARKS Elizabeth,W,../../../en/results/swimming/athlete-profile-n1690676-marks-elizabeth.htm,Women's 50m Freestyle - S6,United States of America,USA,Swimming,SWM
Bronze Medal,3,2021-08-25 00:00:00.0,HONTAR A,HONTAR Anna,W,../../../en/results/swimming/athlete-profile-n1346704-hontar-anna.htm,Women's 50m Freestyle - S6,Ukraine,UKR,Swimming,SWM
Gold Medal,1,2021-08-25 00:00:00.0,LI H,LI Hao,M,../../../en/results/wheelchair-fencing/athlete-profile-n1643675-li-hao.htm,Men's Sabre Individual - Category A,People's Republic of China,CHN,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-25 00:00:00.0,MANKO A,MANKO Artem,M,../../../en/results/wheelchair-fencing/athlete-profile-n1379395-manko-artem.htm,Men's Sabre Individual - Category A,Ukraine,UKR,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-25 00:00:00.0,TIAN J,TIAN Jianquan,M,../../../en/results/wheelchair-fencing/athlete-profile-n1643237-tian-jianquan.htm,Men's Sabre Individual - Category A,People's Republic of China,CHN,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-25 00:00:00.0,FENG Y,FENG Yanke,M,../../../en/results/wheelchair-fencing/athlete-profile-n1643562-feng-yanke.htm,Men's Sabre Individual - Category B,People's Republic of China,CHN,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-25 00:00:00.0,CASTRO A,CASTRO Adrian,M,../../../en/results/wheelchair-fencing/athlete-profile-n1711231-castro-adrian.htm,Men's Sabre Individual - Category B,Poland,POL,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-25 00:00:00.0,TRIANTAFYLLOU P,TRIANTAFYLLOU Panagiotis,M,../../../en/results/wheelchair-fencing/athlete-profile-n1708683-triantafyllou-panagiotis.htm,Men's Sabre Individual - Category B,Greece,GRE,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-25 00:00:00.0,BIAN J,BIAN Jing,W,../../../en/results/wheelchair-fencing/athlete-profile-n1643747-bian-jing.htm,Women's Sabre Individual - Category A,People's Republic of China,CHN,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-25 00:00:00.0,TIBILASHVILI N,TIBILASHVILI Nino,W,../../../en/results/wheelchair-fencing/athlete-profile-n1406658-tibilashvili-nino.htm,Women's Sabre Individual - Category A,Georgia,GEO,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-25 00:00:00.0,BREUS Y,BREUS Yevheniia,W,../../../en/results/wheelchair-fencing/athlete-profile-n1378504-breus-yevheniia.htm,Women's Sabre Individual - Category A,Ukraine,UKR,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-25 00:00:00.0,TAN S,TAN Shumei,W,../../../en/results/wheelchair-fencing/athlete-profile-n1650734-tan-shumei.htm,Women's Sabre Individual - Category B,People's Republic of China,CHN,Wheelchair Fencing,WFE
Silver Medal,2,2021-08-25 00:00:00.0,FEDOTA O,FEDOTA Olena,W,../../../en/results/wheelchair-fencing/athlete-profile-n1379412-fedota-olena.htm,Women's Sabre Individual - Category B,Ukraine,UKR,Wheelchair Fencing,WFE
Bronze Medal,3,2021-08-25 00:00:00.0,XIAO R,XIAO Rong,W,../../../en/results/wheelchair-fencing/athlete-profile-n1650682-xiao-rong.htm,Women's Sabre Individual - Category B,People's Republic of China,CHN,Wheelchair Fencing,WFE
Gold Medal,1,2021-08-26 00:00:00.0,ASTASHOV M,ASTASHOV Mikhail,M,../../../en/results/cycling-track/athlete-profile-n1329070-astashov-mikhail.htm,Men's C1 3000m Individual Pursuit,RPC,RPC,Cycling Track,CTR
Silver Medal,2,2021-08-26 00:00:00.0,CHERNOVE T,CHERNOVE Tristen,M,../../../en/results/cycling-track/athlete-profile-n1525731-chernove-tristen.htm,Men's C1 3000m Individual Pursuit,Canada,CAN,Cycling Track,CTR
Bronze Medal,3,2021-08-26 00:00:00.0,LI Z,LI Zhangyu,M,../../../en/results/cycling-track/athlete-profile-n1711564-li-zhangyu.htm,Men's C1 3000m Individual Pursuit,People's Republic of China,CHN,Cycling Track,CTR
Gold Medal,1,2021-08-26 00:00:00.0,LEAUTE A,LEAUTE Alexandre,M,../../../en/results/cycling-track/athlete-profile-n1358082-leaute-alexandre.htm,Men's C2 3000m Individual Pursuit,France,FRA,Cycling Track,CTR
Silver Medal,2,2021-08-26 00:00:00.0,HICKS D,HICKS Darren,M,../../../en/results/cycling-track/athlete-profile-n1404428-hicks-darren.htm,Men's C2 3000m Individual Pursuit,Australia,AUS,Cycling Track,CTR
Bronze Medal,3,2021-08-26 00:00:00.0,LIANG G,LIANG Guihua,M,../../../en/results/cycling-track/athlete-profile-n1711555-liang-guihua.htm,Men's C2 3000m Individual Pursuit,People's Republic of China,CHN,Cycling Track,CTR
Gold Medal,1,2021-08-26 00:00:00.0,van GASS J,van GASS Jaco,M,../../../en/results/cycling-track/athlete-profile-n1720654-van-gass-jaco.htm,Men's C3 3000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Silver Medal,2,2021-08-26 00:00:00.0,GRAHAM F,GRAHAM Finlay,M,../../../en/results/cycling-track/athlete-profile-n1720664-graham-finlay.htm,Men's C3 3000m Individual Pursuit,Great Britain,GBR,Cycling Track,CTR
Bronze Medal,3,2021-08-26 00:00:00.0,NICHOLAS D,NICHOLAS David,M,../../../en/results/cycling-track/athlete-profile-n1404423-nicholas-david.htm,Men's C3 3000m Individual Pursuit,Australia,AUS,Cycling Track,CTR
Gold Medal,1,2021-08-26 00:00:00.0,CABELLO LLAMAS A,CABELLO LLAMAS Alfonso,M,../../../en/results/cycling-track/athlete-profile-n1448802-cabello-llamas-alfonso.htm,Men's C4-5 1000m Time Trial,Spain,ESP,Cycling Track,CTR
Silver Medal,2,2021-08-26 00:00:00.0,CUNDY J,CUNDY Jody,M,../../../en/results/cycling-track/athlete-profile-n1720649-cundy-jody.htm,Men's C4-5 1000m Time Trial,Great Britain,GBR,Cycling Track,CTR
Bronze Medal,3,2021-08-26 00:00:00.0,METELKA J,METELKA Jozef,M,../../../en/results/cycling-track/athlete-profile-n1720090-metelka-jozef.htm,Men's C4-5 1000m Time Trial,Slovakia,SVK,Cycling Track,CTR
Gold Medal,1,2021-08-26 00:00:00.0,KLAASSEN L,KLAASSEN Larissa,W,../../../en/results/cycling-track/athlete-profile-n1708831-klaassen-larissa.htm,Women's B 1000m Time Trial,Netherlands,NED,Cycling Track,CTR
Silver Medal,2,2021-08-26 00:00:00.0,McGLYNN OBE A,McGLYNN OBE Aileen,W,../../../en/results/cycling-track/athlete-profile-n1720670-mcglynn-obe-aileen.htm,Women's B 1000m Time Trial,Great Britain,GBR,Cycling Track,CTR
Bronze Medal,3,2021-08-26 00:00:00.0,HOET G,HOET Griet,W,../../../en/results/cycling-track/athlete-profile-n1474556-hoet-griet.htm,Women's B 1000m Time Trial,Belgium,BEL,Cycling Track,CTR
Gold Medal,1,2021-08-26 00:00:00.0,PEARSON L,PEARSON Lee,O,../../../en/results/equestrian/athlete-profile-n1706408-pearson-lee.htm,Individual Test - Grade II,Great Britain,GBR,Equestrian,EQU
Silver Medal,2,2021-08-26 00:00:00.0,PUCH P,PUCH Pepo,O,../../../en/results/equestrian/athlete-profile-n1352178-puch-pepo.htm,Individual Test - Grade II,Austria,AUT,Equestrian,EQU
Bronze Medal,3,2021-08-26 00:00:00.0,WILSON G,WILSON Georgia,O,../../../en/results/equestrian/athlete-profile-n1706413-wilson-georgia.htm,Individual Test - Grade II,Great Britain,GBR,Equestrian,EQU
Gold Medal,1,2021-08-26 00:00:00.0,VOETS S,VOETS Sanne,O,../../../en/results/equestrian/athlete-profile-n1710891-voets-sanne.htm,Individual Test - Grade IV,Netherlands,NED,Equestrian,EQU
Silver Medal,2,2021-08-26 00:00:00.0,RISKALLA R,RISKALLA Rodolpho,O,../../../en/results/equestrian/athlete-profile-n1450683-riskalla-rodolpho.htm,Individual Test - Grade IV,Brazil,BRA,Equestrian,EQU
Bronze Medal,3,2021-08-26 00:00:00.0,CLAEYS M,CLAEYS Manon,O,../../../en/results/equestrian/athlete-profile-n1517668-claeys-manon.htm,Individual Test - Grade IV,Belgium,BEL,Equestrian,EQU
Gold Medal,1,2021-08-26 00:00:00.0,GEORGE M,GEORGE Michele,O,../../../en/results/equestrian/athlete-profile-n1543134-george-michele.htm,Individual Test - Grade V,Belgium,BEL,Equestrian,EQU
Silver Medal,2,2021-08-26 00:00:00.0,WELLS S,WELLS Sophie,O,../../../en/results/equestrian/athlete-profile-n1706410-wells-sophie.htm,Individual Test - Grade V,Great Britain,GBR,Equestrian,EQU
Bronze Medal,3,2021-08-26 00:00:00.0,HOSMAR F,HOSMAR Frank,O,../../../en/results/equestrian/athlete-profile-n1710885-hosmar-frank.htm,Individual Test - Grade V,Netherlands,NED,Equestrian,EQU
Gold Medal,1,2021-08-26 00:00:00.0,QARADA OSH,QARADA Omar Sami Hamadeh,M,../../../en/results/powerlifting/athlete-profile-n1358528-qarada-omar-sami-hamadeh.htm,Men's -49 kg,Jordan,JOR,Powerlifting,PWL
Silver Medal,2,2021-08-26 00:00:00.0,le VC,le van Cong,M,../../../en/results/powerlifting/athlete-profile-n1721274-le-van-cong.htm,Men's -49 kg,Vietnam,VIE,Powerlifting,PWL
Bronze Medal,3,2021-08-26 00:00:00.0,MAMMADOV P,MAMMADOV Parvin,M,../../../en/results/powerlifting/athlete-profile-n1285989-mammadov-parvin.htm,Men's -49 kg,Azerbaijan,AZE,Powerlifting,PWL
Gold Medal,1,2021-08-26 00:00:00.0,DEGTYAREV D,DEGTYAREV David,M,../../../en/results/powerlifting/athlete-profile-n1717182-degtyarev-david.htm,Men's -54 kg,Kazakhstan,KAZ,Powerlifting,PWL
Silver Medal,2,2021-08-26 00:00:00.0,BOURLON A,BOURLON Axel,M,../../../en/results/powerlifting/athlete-profile-n1358044-bourlon-axel.htm,Men's -54 kg,France,FRA,Powerlifting,PWL
Bronze Medal,3,2021-08-26 00:00:00.0,BAKOCHRISTOS D,BAKOCHRISTOS Dimitrios,M,../../../en/results/powerlifting/athlete-profile-n1717117-bakochristos-dimitrios.htm,Men's -54 kg,Greece,GRE,Powerlifting,PWL
Gold Medal,1,2021-08-26 00:00:00.0,GUO L,GUO Lingling,W,../../../en/results/powerlifting/athlete-profile-n1710953-guo-lingling.htm,Women's -41 kg,People's Republic of China,CHN,Powerlifting,PWL
Silver Medal,2,2021-08-26 00:00:00.0,WIDIASIH NN,WIDIASIH Ni Nengah,W,../../../en/results/powerlifting/athlete-profile-n1718905-widiasih-ni-nengah.htm,Women's -41 kg,Indonesia,INA,Powerlifting,PWL
Bronze Medal,3,2021-08-26 00:00:00.0,FUENTES MONASTERIO,FUENTES MONASTERIO Clara Sarahy,W,../../../en/results/powerlifting/athlete-profile-n1434148-fuentes-monasterio-clara-sarahy.htm,Women's -41 kg,Venezuela,VEN,Powerlifting,PWL
Gold Medal,1,2021-08-26 00:00:00.0,TIJANI L,TIJANI Latifat,W,../../../en/results/powerlifting/athlete-profile-n1591531-tijani-latifat.htm,Women's -45 kg,Nigeria,NGR,Powerlifting,PWL
Silver Medal,2,2021-08-26 00:00:00.0,CUI Z,CUI Zhe,W,../../../en/results/powerlifting/athlete-profile-n1710950-cui-zhe.htm,Women's -45 kg,People's Republic of China,CHN,Powerlifting,PWL
Bronze Medal,3,2021-08-26 00:00:00.0,KOZDRYK J,KOZDRYK Justyna,W,../../../en/results/powerlifting/athlete-profile-n1720597-kozdryk-justyna.htm,Women's -45 kg,Poland,POL,Powerlifting,PWL
Gold Medal,1,2021-08-26 00:00:00.0,BOKI I,BOKI Ihar,M,../../../en/results/swimming/athlete-profile-n1336276-boki-ihar.htm,Men's 100m Backstroke - S13,Belarus,BLR,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,TURBIDE NG,TURBIDE Nicolas Guy,M,../../../en/results/swimming/athlete-profile-n1543710-turbide-nicolas-guy.htm,Men's 100m Backstroke - S13,Canada,CAN,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,SOTNIKOV V,SOTNIKOV Vladimir,M,../../../en/results/swimming/athlete-profile-n1601676-sotnikov-vladimir.htm,Men's 100m Backstroke - S13,RPC,RPC,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,KALINA A,KALINA Andrei,M,../../../en/results/swimming/athlete-profile-n1309716-kalina-andrei.htm,Men's 100m Breaststroke - SB8,RPC,RPC,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,SALGUERO GALISTEO,SALGUERO GALISTEO Oscar,M,../../../en/results/swimming/athlete-profile-n1449118-salguero-galisteo-oscar.htm,Men's 100m Breaststroke - SB8,Spain,ESP,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,YANG G,YANG Guanglong,M,../../../en/results/swimming/athlete-profile-n1707574-yang-guanglong.htm,Men's 100m Breaststroke - SB8,People's Republic of China,CHN,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,RAIMONDI S,RAIMONDI Stefano,M,../../../en/results/swimming/athlete-profile-n1683493-raimondi-stefano.htm,Men's 100m Breaststroke - SB9,Italy,ITA,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,ISAEV A,ISAEV Artem,M,../../../en/results/swimming/athlete-profile-n1309712-isaev-artem.htm,Men's 100m Breaststroke - SB9,RPC,RPC,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,BARTASINSKII D,BARTASINSKII Dmitrii,M,../../../en/results/swimming/athlete-profile-n1309683-bartasinskii-dmitrii.htm,Men's 100m Breaststroke - SB9,RPC,RPC,Swimming,SWM
Gold Medal,1,2021-08-26 00:00:00.0,SUZUKI T,SUZUKI Takayuki,M,../../../en/results/swimming/athlete-profile-n1720245-suzuki-takayuki.htm,Men's 100m Freestyle - S4,Japan,JPN,Swimming,SWM
Silver Medal,2,2021-08-26 00:00:00.0,BEGGIATO L,BEGGIATO Luigi,M,../../../en/results/swimming/athlete-profile-n1684614-beggiato-luigi.htm,Men's 100m Freestyle - S4,Italy,ITA,Swimming,SWM
Bronze Medal,3,2021-08-26 00:00:00.0,ZHDANOV R,ZHDANOV Roman,M,../../../en/results/swimming/athlete-profile-n1309709-zhdanov-roman.htm,Men's 100m Freestyle - S4,RPC,RPC,Swimming,SWM
