Medal Won,Athlete Name,First Game,Host Country,Game Name,Year
GOLD,Birk RUUD,Beijing 2022,China,Beijing 2022,2022
SILVER,Colby STEVENSON,Beijing 2022,China,Beijing 2022,2022
GOLD,Ryan REGEZ,Beijing 2022,China,Beijing 2022,2022
GOLD,Ailing Eileen GU,Beijing 2022,China,Beijing 2022,2022
GOLD,Ailing Eileen GU,Beijing 2022,China,Beijing 2022,2022
SILVER,Ailing Eileen GU,Beijing 2022,China,Beijing 2022,2022
BRONZE,Kelly SILDARU,Beijing 2022,China,Beijing 2022,2022
BRONZE,Anastasiia SMIRNOVA,Beijing 2022,China,Beijing 2022,2022
BRONZE,Daniela MAIER,Beijing 2022,China,Beijing 2022,2022
SILVER,Hanna HUSKOVA,Beijing 2022,China,Beijing 2022,2022
BRONZE,Megan NICK,Beijing 2022,China,Beijing 2022,2022
BRONZE,Rachel KARKER,Beijing 2022,China,Beijing 2022,2022
BRONZE,Hanne DESMET,Beijing 2022,China,Beijing 2022,2022
BRONZE,Steven DUBOIS,Beijing 2022,China,Beijing 2022,2022
SILVER,Steven DUBOIS,Beijing 2022,China,Beijing 2022,2022
SILVER,Konstantin IVLIEV,Beijing 2022,China,Beijing 2022,2022
BRONZE,Semen ELISTRATOV,Beijing 2022,China,Beijing 2022,2022
SILVER,Wenlong LI,Beijing 2022,China,Beijing 2022,2022
BRONZE,Kokomo MURASE,Beijing 2022,China,Beijing 2022,2022
BRONZE,Tess COADY,Beijing 2022,China,Beijing 2022,2022
SILVER,Yiming SU,Beijing 2022,China,Beijing 2022,2022
GOLD,Yiming SU,Beijing 2022,China,Beijing 2022,2022
GOLD,Marius LINDVIK,Beijing 2022,China,Beijing 2022,2022
SILVER,Katharina ALTHAUS,Beijing 2022,China,Beijing 2022,2022
GOLD,Anna SHCHERBAKOVA,Beijing 2022,China,Beijing 2022,2022
SILVER,Alexandra Trusova,Beijing 2022,China,Beijing 2022,2022
SILVER,Yuma KAGIYAMA,Beijing 2022,China,Beijing 2022,2022
SILVER,Anna BERREITER,Beijing 2022,China,Beijing 2022,2022
BRONZE,Eduard LATYPOV,Beijing 2022,China,Beijing 2022,2022
BRONZE,Vetle Sjaastad CHRISTIANSEN,Beijing 2022,China,Beijing 2022,2022
SILVER,Elvira OEBERG,Beijing 2022,China,Beijing 2022,2022
SILVER,Elvira OEBERG,Beijing 2022,China,Beijing 2022,2022
BRONZE,Marte Olsbu ROEISELAND,Beijing 2022,China,Beijing 2022,2022
GOLD,Marte Olsbu ROEISELAND,Beijing 2022,China,Beijing 2022,2022
GOLD,Marte Olsbu ROEISELAND,Beijing 2022,China,Beijing 2022,2022
BRONZE,Marte Olsbu ROEISELAND,Beijing 2022,China,Beijing 2022,2022
BRONZE,Sebastian FOSS-SOLEVAAG,Beijing 2022,China,Beijing 2022,2022
SILVER,Johannes STROLZ,Beijing 2022,China,Beijing 2022,2022
GOLD,Johannes STROLZ,Beijing 2022,China,Beijing 2022,2022
GOLD,Marco ODERMATT,Beijing 2022,China,Beijing 2022,2022
SILVER,Mirjam PUCHNER,Beijing 2022,China,Beijing 2022,2022
BRONZE,Nadia DELAGO,Beijing 2022,China,Beijing 2022,2022
GOLD,Hannah NEISE,Beijing 2022,China,Beijing 2022,2022
BRONZE,Wengang YAN,Beijing 2022,China,Beijing 2022,2022
SILVER,Maja DAHLQVIST,Beijing 2022,China,Beijing 2022,2022
SILVER,Natalia NEPRYAEVA,Beijing 2022,China,Beijing 2022,2022
GOLD,Jonna SUNDLING,Beijing 2022,China,Beijing 2022,2022
SILVER,Ivan YAKIMUSHKIN,Beijing 2022,China,Beijing 2022,2022
BRONZE,Alexander TERENTEV,Beijing 2022,China,Beijing 2022,2022
SILVER,Thomas KROL,Beijing 2022,China,Beijing 2022,2022
GOLD,Thomas KROL,Beijing 2022,China,Beijing 2022,2022
SILVER,Jutta LEERDAM,Beijing 2022,China,Beijing 2022,2022
BRONZE,Wataru MORISHIGE,Beijing 2022,China,Beijing 2022,2022
BRONZE,Hallgeir ENGEBRAATEN,Beijing 2022,China,Beijing 2022,2022
SILVER,Jens Luraas OFTEBRO,Beijing 2022,China,Beijing 2022,2022
BRONZE,Lukas GREIDERER,Beijing 2022,China,Beijing 2022,2022
BRONZE,Yulia KARIMOVA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Yulia ZYKOVA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Changhong ZHANG,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Lihao SHENG,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,William SHANER,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Qian YANG,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Anastasiia GALASHINA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Matthew John COWARD HOLLEY,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Amber ENGLISH,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Kayle BROWNING,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Ranxin JIANG,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Jiaruixuan XIAO,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Javad FOROUGHI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Abdullah ALRASHIDI,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Siyi XIE,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Zongyuan WANG,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Hongchan QUAN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Yuxi CHEN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Jian YANG,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Krysta PALMER,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Han WANG,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Liudmyla LUZAN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Laurence VINCENT-LAPOINTE,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Nevin HARRISON,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Hao LIU,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Adam VARGA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Marlen REUSSER,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Anna KIESENHOFER,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Wout VAN AERT,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Tadej POGACAR,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Richard CARAPAZ,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Andrei ZAMKOVOI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Aidan WALSH,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Hebert SOUSA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Eumir MARCIAL,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Oleksandr KHYZHNIAK,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Gleb BAKSHI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Kamshybek KUNKABAYEV,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Richard TORREZ JR,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Frazer CLARKE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Imam KHATAEV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Loren Berto ALFONSO DOMINGUEZ,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Benjamin WHITTAKER,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Duke RAGAN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Samuel TAKYI,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Albert BATYRGAZIEV,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Muslim GADZHIMAGOMEDOV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Abner TEIXEIRA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,David NYIKA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Julio LA CRUZ PERAZA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Lauren PRICE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Zenfira MAGOMEDALIEVA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Beatriz FERREIRA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Kellie Anne HARRINGTON,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Sudaporn SEESONDEE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Oshae JONES,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Hong GU,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Busenaz SURMENELI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Lovlina BORGOHAIN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Tsukimi NAMIKI,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Stoyka Zhelyazkova KRASTEVA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Buse Naz CAKIROGLU,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Hsiao-Wen HUANG,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Carlo PAALAM,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Ryomei TANAKA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Saken BIBOSSINOV,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Sena IRIE,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Nesthy PETECIO,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Karriss ARTINGSTALL,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Harrison GARSIDE,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Keyshawn DAVIS,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Andy CRUZ,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Kye WHYTE,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Bethany SHRIEVER,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Merel SMULDERS,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Georgia TAYLOR-BROWN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Alex YEE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Hayden WILDE,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Carissa MOORE,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Bianca BUITENDAG,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Amuro TSUZUKI,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Zhendong FAN,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Meng CHEN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Yingsha SUN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Mallory FRANKLIN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Andrea HERZOG,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Ricarda FUNK,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Lukas ROHAN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Kareena LEE,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Ivan LITVINOVICH,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Xueying ZHU,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Lingling LIU,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Hakan RECBER,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Ulugbek RASHITOV,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Bradly SINDEN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Saleh ELSHARABATY,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Seif EISSA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Maksim KHRAMTCOV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Toni KANAET,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Vladislav LARIN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Kyo Don IN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Dejan GEORGIEVSKI,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Dabin LEE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Althea LAURIN,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Matea JELIC,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Lauren WILLIAMS,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Tatiana KUDASHOVA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Hatice Kubra ILGUN,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Anastasija ZOLOTIC,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Chia-Ling LO,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Mikhail ARTAMONOV,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Vito DELL'AQUILA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Jun JANG,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Mohamed Khalil JENDOUBI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Abishag SEMBERG,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Adriana CEREZO IGLESIAS,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Harrie LAVREYSEN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Harrie LAVREYSEN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Jack CARLIN,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Shanne BRASPENNINCX,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Kelsey MITCHELL,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Ellesse ANDREWS,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Lauriane GENEST,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Olena STARIKOVA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Campbell STEWART,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Matthew WALLS,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Yumi KAJIHARA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Katrina LEHIS,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Gergely SIKLOSI,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Romain CANNONE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Igor REIZLIN,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Sofia POZDNIAKOVA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Anthony Sinisuka GINTING,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Yu Fei CHEN,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Alberto GINES LOPEZ,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Nathaniel COLEMAN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Jakob SCHUBERT,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Janja GARNBERT,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Akiyo NOGUCHI,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Miho NONAKA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Thomas Patrick GILMAN,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Zavur UGUEV,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Ravi Kumar Dahiya,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Qianyu PANG,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Mayu MUKAIDA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Bolortuya BAT OCHIR,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Vanesa KALADZINSKAYA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Musa EVLOEV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Tadeusz MICHALIK,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Mohammadhadi SARAVI,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Mahamedkhabib KADZIMAHAMEDAU,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Kyle Douglas DAKE,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Zaurbek SIDAKOV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Gadzhimurad RASHIDOV,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Haji ALIYEV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Bajrang BAJRANG,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Takuto OTOGURO,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,David Morris TAYLOR III,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Artur NAIFONOV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Myles Nazem AMINE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Rafig HUSEYNOV,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Akzhol MAKHMUDOV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Shohei YABIKU,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Meerim ZHUMANAZAROVA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Tamyra Mariama MENSAH STOCK,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Yui SUSAKI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Sarah Ann HILDEBRANDT,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Mohammadreza GERAEI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Mohamed Ibrahim Elsayed ELSAYED,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Parviz NASIBOV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Qian ZHOU,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Kenichiro FUMITA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Luis Alberto ORTA SANCHEZ,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Sailike WALIHAN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Sergey EMELIN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Evelina Georgieva NIKOLOVA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Iryna KURACHKINA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Amir Hossein ZARE,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Gable Dan STEVESON,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Yukako KAWAI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Iryna KOLIADENKO,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Abraham de Jesus CONYEDO RUANO,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Abdulrashid SADULAEV,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Karen KHACHANOV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Pablo CARRENO BUSTA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Alexander ZVEREV,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Belinda BENCIC,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Marketa VONDROUSOVA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Seojeong YEO,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Jade CAREY,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Mykayla SKINNER,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Daiki HASHIMOTO,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Daiki HASHIMOTO,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Ruoteng XIAO,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Ruoteng XIAO,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Xijing TANG,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Sunisa LEE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Sunisa LEE,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Chenchen GUAN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Tin SRBIC,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Kazuma KAYA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Jeahwan SHIN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Anastasiia ILIANKOVA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Jingyuan ZOU,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Artem DOLGOPYAT,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Mone INAMI,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Nelly KORDA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Rory SABBATINI,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Xander SCHAUFFELE,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Charlotte WORTHINGTON,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Hannah ROBERTS,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Nikita DUCARROZ,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Daniel DHERS,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Declan BROOKS,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Logan MARTIN,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Tsukasa YOSHIDA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Sarah Leonie CYSIQUE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Jessica KLIMKAIT,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Akira SONE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Romane DICKO,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Sanne VAN DIJKE,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Michaela POLLERES,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Chizuru ARAI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Madina TAIMAZOVA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Madeleine MALONGA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Shori HAMADA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Mayra AGUIAR,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Anna-Maria WAGNER,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Matthias CASSE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Shamil BORCHASHVILI,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Hifumi ABE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Daniel CARGNIN,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Distria KRASNIQI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Daria BILODID,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Funa TONAKI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Tamerlan BASHAEV,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Guram TUSHISHVILI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Davlat BOBONOV,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Eduard TRIPPEL,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Lasha BEKAURI,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Aaron WOLF,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Niiaz ILIASOV,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Luka MKHEIDZE,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Yung Wei YANG,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Maria CENTRACCHIO,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Amandine BUCHARD,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Uta ABE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Chelsie GILES,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Rayssa LEAL,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Funa NAKAYAMA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Momiji NISHIYA,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Pedro BARROS,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Keegan PALMER,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Cory JUNEAU,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Sky BROWN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Kokona HIRAKI,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Sakura YOSOZUMI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Jagger EATON,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Kelvin HOEFLER,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Yuto HORIGOME,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,San AN,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Elena OSIPOVA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Igor SON,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Fabin LI,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Qiuyun LIAO,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Mirko ZANNI,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Antonino PIZZOLATO,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Zacarias BONNAT MICHEL,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Emily Jade CAMPBELL,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Wenwen LI,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Tamara Yajaira SALAZAR ARCE,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Cismery Dominga SANTANA PEGUERO,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Zhouyu WANG,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Ali DAVOUDI,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Polina GURYEVA,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Wen-Huei CHEN,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Maude G CHARRON,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Rahmat Erwin ABDULLAH,Tokyo 2020,Japan,Tokyo 2020,2020
SILVER,Julio Ruben MAYORA PERNIA,Tokyo 2020,Japan,Tokyo 2020,2020
GOLD,Zhihui HOU,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Windy Cantika AISAH,Tokyo 2020,Japan,Tokyo 2020,2020
BRONZE,Anton PLIESNOI,Tokyo 2020,Japan,Tokyo 2020,2020
