Athlete Name,First Game,Sport,Sport Event,Medal Won,Home Country,Host Country,Game Name,Game Season,Year
Birk RUUD,Beijing 2022,Freestyle Skiing,Men's Freeski Big Air,GOLD,Norway,China,Beijing 2022,Winter,2022
Colby STEVENSON,Beijing 2022,Freestyle Skiing,Men's Freeski Big Air,SILVER,United States of America,China,Beijing 2022,Winter,2022
Ryan REGEZ,Beijing 2022,Freestyle Skiing,Men's Ski Cross,GOLD,Switzerland,China,Beijing 2022,Winter,2022
Ailing Eileen GU,Beijing 2022,Freestyle Skiing,Women's Freeski Big Air,GOLD,People's Republic of China,China,Beijing 2022,Winter,2022
Kelly SILDARU,Beijing 2022,Freestyle Skiing,Women's Freeski Slopestyle,BRONZE,Estonia,China,Beijing 2022,Winter,2022
Anastasiia SMIRNOVA,Beijing 2022,Freestyle Skiing,Women's Moguls,BRONZE,ROC,China,Beijing 2022,Winter,2022
Daniela MAIER,Beijing 2022,Freestyle Skiing,Women's Ski Cross,BRONZE,Germany,China,Beijing 2022,Winter,2022
Hanna HUSKOVA,Beijing 2022,Freestyle Skiing,Women's Aerials,SILVER,Belarus,China,Beijing 2022,Winter,2022
Megan NICK,Beijing 2022,Freestyle Skiing,Women's Aerials,BRONZE,United States of America,China,Beijing 2022,Winter,2022
Rachel KARKER,Beijing 2022,Freestyle Skiing,Women's Freeski Halfpipe,BRONZE,Canada,China,Beijing 2022,Winter,2022
Hanne DESMET,Beijing 2022,Short Track Speed Skating,Women's 1000m,BRONZE,Belgium,China,Beijing 2022,Winter,2022
Steven DUBOIS,Beijing 2022,Short Track Speed Skating,Men's 500m,BRONZE,Canada,China,Beijing 2022,Winter,2022
Konstantin IVLIEV,Beijing 2022,Short Track Speed Skating,Men's 500m,SILVER,ROC,China,Beijing 2022,Winter,2022
Semen ELISTRATOV,Beijing 2022,Short Track Speed Skating,Men's 1500m,BRONZE,ROC,China,Beijing 2022,Winter,2022
Wenlong LI,Beijing 2022,Short Track Speed Skating,Men's 1000m,SILVER,People's Republic of China,China,Beijing 2022,Winter,2022
Kokomo MURASE,Beijing 2022,Snowboard,Women's Snowboard Big Air,BRONZE,Japan,China,Beijing 2022,Winter,2022
Tess COADY,Beijing 2022,Snowboard,Women's Snowboard Slopestyle,BRONZE,Australia,China,Beijing 2022,Winter,2022
Yiming SU,Beijing 2022,Snowboard,Men's Snowboard Slopestyle,SILVER,People's Republic of China,China,Beijing 2022,Winter,2022
Marius LINDVIK,Beijing 2022,Ski Jumping,Men's LH Individual,GOLD,Norway,China,Beijing 2022,Winter,2022
Katharina ALTHAUS,Beijing 2022,Ski Jumping,Women's NH Individual,SILVER,Germany,China,Beijing 2022,Winter,2022
Anna SHCHERBAKOVA,Beijing 2022,Figure skating,Women Single Skating,GOLD,ROC,China,Beijing 2022,Winter,2022
Alexandra Trusova,Beijing 2022,Figure skating,Women Single Skating,SILVER,ROC,China,Beijing 2022,Winter,2022
Yuma KAGIYAMA,Beijing 2022,Figure skating,Men Single Skating,SILVER,Japan,China,Beijing 2022,Winter,2022
Anna BERREITER,Beijing 2022,Luge,Women's Singles,SILVER,Germany,China,Beijing 2022,Winter,2022
Eduard LATYPOV,Beijing 2022,Biathlon,Men's 12.5km Pursuit,BRONZE,ROC,China,Beijing 2022,Winter,2022
Vetle Sjaastad CHRISTIANSEN,Beijing 2022,Biathlon,Men's 15km Mass Start,BRONZE,Norway,China,Beijing 2022,Winter,2022
Elvira OEBERG,Beijing 2022,Biathlon,Women's 10km Pursuit,SILVER,Sweden,China,Beijing 2022,Winter,2022
Marte Olsbu ROEISELAND,Beijing 2022,Biathlon,Women's 12.5km Mass Start,BRONZE,Norway,China,Beijing 2022,Winter,2022
Sebastian FOSS-SOLEVAAG,Beijing 2022,Alpine Skiing,Men's Slalom,BRONZE,Norway,China,Beijing 2022,Winter,2022
Johannes STROLZ,Beijing 2022,Alpine Skiing,Men's Slalom,SILVER,Austria,China,Beijing 2022,Winter,2022
Marco ODERMATT,Beijing 2022,Alpine Skiing,Men's Giant Slalom,GOLD,Switzerland,China,Beijing 2022,Winter,2022
Mirjam PUCHNER,Beijing 2022,Alpine Skiing,Women's Super-G,SILVER,Austria,China,Beijing 2022,Winter,2022
Nadia DELAGO,Beijing 2022,Alpine Skiing,Women's Downhill,BRONZE,Italy,China,Beijing 2022,Winter,2022
Hannah NEISE,Beijing 2022,Skeleton,Women,GOLD,Germany,China,Beijing 2022,Winter,2022
Wengang YAN,Beijing 2022,Skeleton,Men,BRONZE,People's Republic of China,China,Beijing 2022,Winter,2022
Maja DAHLQVIST,Beijing 2022,Cross Country Skiing,Women's Sprint Free,SILVER,Sweden,China,Beijing 2022,Winter,2022
Natalia NEPRYAEVA,Beijing 2022,Cross Country Skiing,Women's 7.5km + 7.5km Skiathlon,SILVER,ROC,China,Beijing 2022,Winter,2022
Jonna SUNDLING,Beijing 2022,Cross Country Skiing,Women's Sprint Free,GOLD,Sweden,China,Beijing 2022,Winter,2022
Ivan YAKIMUSHKIN,Beijing 2022,Cross Country Skiing,Men's 50km Mass Start Free,SILVER,ROC,China,Beijing 2022,Winter,2022
Alexander TERENTEV,Beijing 2022,Cross Country Skiing,Men's Sprint Free,BRONZE,ROC,China,Beijing 2022,Winter,2022
Thomas KROL,Beijing 2022,Speed skating,Men's 1500m,SILVER,Netherlands,China,Beijing 2022,Winter,2022
Jutta LEERDAM,Beijing 2022,Speed skating,Women's 1000m,SILVER,Netherlands,China,Beijing 2022,Winter,2022
Wataru MORISHIGE,Beijing 2022,Speed skating,Men's 500m,BRONZE,Japan,China,Beijing 2022,Winter,2022
Hallgeir ENGEBRAATEN,Beijing 2022,Speed skating,Men's 5000m,BRONZE,Norway,China,Beijing 2022,Winter,2022
Jens Luraas OFTEBRO,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km,SILVER,Norway,China,Beijing 2022,Winter,2022
Lukas GREIDERER,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km,BRONZE,Austria,China,Beijing 2022,Winter,2022
Daichi HARA,PyeongChang 2018,Freestyle Skiing,Men’s Moguls,BRONZE,Japan,Republic of Korea,PyeongChang 2018,Winter,2018
Nico PORTEOUS,PyeongChang 2018,Freestyle Skiing,Men’s Ski Halfpipe,BRONZE,New Zealand,Republic of Korea,PyeongChang 2018,Winter,2018
Alex FERREIRA,PyeongChang 2018,Freestyle Skiing,Men’s Ski Halfpipe,SILVER,United States of America,Republic of Korea,PyeongChang 2018,Winter,2018
Sergey RIDZIK,PyeongChang 2018,Freestyle Skiing,Men’s Ski Cross,BRONZE,Olympic Athletes from Russia,Republic of Korea,PyeongChang 2018,Winter,2018
Mathilde GREMAUD,PyeongChang 2018,Freestyle Skiing,Ladies’ Ski Slopestyle,SILVER,Switzerland,Republic of Korea,PyeongChang 2018,Winter,2018
Sarah HOEFFLIN,PyeongChang 2018,Freestyle Skiing,Ladies’ Ski Slopestyle,GOLD,Switzerland,Republic of Korea,PyeongChang 2018,Winter,2018
Fanyu KONG,PyeongChang 2018,Freestyle Skiing,Ladies’ Aerials,BRONZE,People's Republic of China,Republic of Korea,PyeongChang 2018,Winter,2018
Cassie SHARPE,PyeongChang 2018,Freestyle Skiing,Ladies’ Ski Halfpipe,GOLD,Canada,Republic of Korea,PyeongChang 2018,Winter,2018
Kim BOUTIN,PyeongChang 2018,Short Track,Ladies’ 1000m,SILVER,Canada,Republic of Korea,PyeongChang 2018,Winter,2018
Suzanne SCHULTING,PyeongChang 2018,Short Track,Ladies’ 1000m,GOLD,Netherlands,Republic of Korea,PyeongChang 2018,Winter,2018
Minjeong CHOI,PyeongChang 2018,Short Track,Ladies’ 1500m,GOLD,Republic of Korea,Republic of Korea,PyeongChang 2018,Winter,2018
Daeheon HWANG,PyeongChang 2018,Short Track,Men’s 500m,SILVER,Republic of Korea,Republic of Korea,PyeongChang 2018,Winter,2018
John-Henry KRUEGER,PyeongChang 2018,Short Track,Men’s 1000m,SILVER,United States of America,Republic of Korea,PyeongChang 2018,Winter,2018
Chloe KIM,PyeongChang 2018,Snowboard,Ladies’ Halfpipe,GOLD,United States of America,Republic of Korea,PyeongChang 2018,Winter,2018
Julia PEREIRA DE SOUSA MABILEAU,PyeongChang 2018,Snowboard,Ladies’ Snowboard Cross,SILVER,France,Republic of Korea,PyeongChang 2018,Winter,2018
Sangho LEE,PyeongChang 2018,Snowboard,Men’s Parallel Giant Slalom,SILVER,Republic of Korea,Republic of Korea,PyeongChang 2018,Winter,2018
Zoi SADOWSKI SYNNOTT,PyeongChang 2018,Snowboard,Ladies’ Big Air,BRONZE,New Zealand,Republic of Korea,PyeongChang 2018,Winter,2018
Laurie BLOUIN,PyeongChang 2018,Snowboard,Ladies’ Slopestyle,SILVER,Canada,Republic of Korea,PyeongChang 2018,Winter,2018
Redmond GERARD,PyeongChang 2018,Snowboard,Men’s Slopestyle,GOLD,United States of America,Republic of Korea,PyeongChang 2018,Winter,2018
Ramona Theresia HOFMEISTER,PyeongChang 2018,Snowboard,Ladies’ Parallel Giant Slalom,BRONZE,Germany,Republic of Korea,PyeongChang 2018,Winter,2018
Robert JOHANSSON,PyeongChang 2018,Ski Jumping,Men’s Large Hill Individual,BRONZE,Norway,Republic of Korea,PyeongChang 2018,Winter,2018
Shoma UNO,PyeongChang 2018,Figure skating,Men's Single Skating,SILVER,Japan,Republic of Korea,PyeongChang 2018,Winter,2018
David GLEIRSCHER,PyeongChang 2018,Luge,Men’s Singles,GOLD,Austria,Republic of Korea,PyeongChang 2018,Winter,2018
Johannes LUDWIG,PyeongChang 2018,Luge,Men’s Singles,BRONZE,Germany,Republic of Korea,PyeongChang 2018,Winter,2018
Benedikt DOLL,PyeongChang 2018,Biathlon,Men’s 12.5km Pursuit,BRONZE,Germany,Republic of Korea,PyeongChang 2018,Winter,2018
Hanna OEBERG,PyeongChang 2018,Biathlon,Women’s 15km Individual,GOLD,Sweden,Republic of Korea,PyeongChang 2018,Winter,2018
Michael MATT,PyeongChang 2018,Alpine Skiing,Men’s Slalom,BRONZE,Austria,Republic of Korea,PyeongChang 2018,Winter,2018
Sofia GOGGIA,PyeongChang 2018,Alpine Skiing,Ladies’ Downhill,GOLD,Italy,Republic of Korea,PyeongChang 2018,Winter,2018
Katharina GALLHUBER,PyeongChang 2018,Alpine Skiing,Ladies’ Slalom,BRONZE,Austria,Republic of Korea,PyeongChang 2018,Winter,2018
Laura DEAS,PyeongChang 2018,Skeleton,Women,BRONZE,Great Britain,Republic of Korea,PyeongChang 2018,Winter,2018
Jacqueline LOELLING,PyeongChang 2018,Skeleton,Women,SILVER,Germany,Republic of Korea,PyeongChang 2018,Winter,2018
Hans Christer HOLUND,PyeongChang 2018,Cross Country Skiing,Men’s 15km+15km Skiathlon,BRONZE,Norway,Republic of Korea,PyeongChang 2018,Winter,2018
Denis SPITSOV,PyeongChang 2018,Cross Country Skiing,Men’s 15km Free,BRONZE,Olympic Athletes from Russia,Republic of Korea,PyeongChang 2018,Winter,2018
Ragnhild HAGA,PyeongChang 2018,Cross Country Skiing,Ladies’ 10km Free,GOLD,Norway,Republic of Korea,PyeongChang 2018,Winter,2018
Simen Hegstad KRUEGER,PyeongChang 2018,Cross Country Skiing,Men’s 15km Free,SILVER,Norway,Republic of Korea,PyeongChang 2018,Winter,2018
Kjeld NUIS,PyeongChang 2018,Speed skating,Men’s 1500m,GOLD,Netherlands,Republic of Korea,PyeongChang 2018,Winter,2018
Min Seok KIM,PyeongChang 2018,Speed skating,Men’s 1500m,BRONZE,Republic of Korea,Republic of Korea,PyeongChang 2018,Winter,2018
Min Kyu CHA,PyeongChang 2018,Speed skating,Men’s 500m,SILVER,Republic of Korea,Republic of Korea,PyeongChang 2018,Winter,2018
Irene SCHOUTEN,PyeongChang 2018,Speed skating,Ladies’ Mass Start,BRONZE,Netherlands,Republic of Korea,PyeongChang 2018,Winter,2018
Ted-Jan BLOEMEN,PyeongChang 2018,Speed skating,Men’s 5000m,SILVER,Canada,Republic of Korea,PyeongChang 2018,Winter,2018
Patrick ROEST,PyeongChang 2018,Speed skating,Men’s 1500m,SILVER,Netherlands,Republic of Korea,PyeongChang 2018,Winter,2018
Natalia VORONINA,PyeongChang 2018,Speed skating,Ladies’ 5000m,BRONZE,Olympic Athletes from Russia,Republic of Korea,PyeongChang 2018,Winter,2018
Carlijn ACHTEREEKTE,PyeongChang 2018,Speed skating,Ladies’ 3000m,GOLD,Netherlands,Republic of Korea,PyeongChang 2018,Winter,2018
Tingyu GAO,PyeongChang 2018,Speed skating,Men’s 500m,BRONZE,People's Republic of China,Republic of Korea,PyeongChang 2018,Winter,2018
Nicola TUMOLERO,PyeongChang 2018,Speed skating,Men’s 10000m,BRONZE,Italy,Republic of Korea,PyeongChang 2018,Winter,2018
Esmee VISSER,PyeongChang 2018,Speed skating,Ladies’ 5000m,GOLD,Netherlands,Republic of Korea,PyeongChang 2018,Winter,2018
Marte OLSBU,PyeongChang 2018,Biathlon,Women’s 7.5km Sprint,SILVER,Norway,Republic of Korea,PyeongChang 2018,Winter,2018
Kyle MACK,PyeongChang 2018,Snowboard,Men’s Big Air,SILVER,United States of America,Republic of Korea,PyeongChang 2018,Winter,2018
Isabel ATKIN,PyeongChang 2018,Freestyle Skiing,Ladies’ Ski Slopestyle,BRONZE,Great Britain,Republic of Korea,PyeongChang 2018,Winter,2018
Marc BISCHOFBERGER,PyeongChang 2018,Freestyle Skiing,Men’s Ski Cross,SILVER,Switzerland,Republic of Korea,PyeongChang 2018,Winter,2018
Alina ZAGITOVA,PyeongChang 2018,Figure skating,Ladies' Single Skating,GOLD,Olympic Athletes from Russia,Republic of Korea,PyeongChang 2018,Winter,2018
Evgenia MEDVEDEVA,PyeongChang 2018,Figure skating,Ladies' Single Skating,SILVER,Olympic Athletes from Russia,Republic of Korea,PyeongChang 2018,Winter,2018
Johann Andre FORFANG,PyeongChang 2018,Ski Jumping,Men’s Normal Hill Individual,SILVER,Norway,Republic of Korea,PyeongChang 2018,Winter,2018
Jinyu LI,PyeongChang 2018,Short Track,Ladies’ 1500m,SILVER,People's Republic of China,Republic of Korea,PyeongChang 2018,Winter,2018
Samuel GIRARD,PyeongChang 2018,Short Track,Men’s 1000m,GOLD,Canada,Republic of Korea,PyeongChang 2018,Winter,2018
Yira SEO,PyeongChang 2018,Short Track,Men’s 1000m,BRONZE,Republic of Korea,Republic of Korea,PyeongChang 2018,Winter,2018
Hyojun LIM,PyeongChang 2018,Short Track,Men’s 500m,BRONZE,Republic of Korea,Republic of Korea,PyeongChang 2018,Winter,2018
Victor MUFFAT JEANDET,PyeongChang 2018,Alpine Skiing,Men’s Alpine Combined,BRONZE,France,Republic of Korea,PyeongChang 2018,Winter,2018
Dajana EITBERGER,PyeongChang 2018,Luge,Women’s Singles,SILVER,Germany,Republic of Korea,PyeongChang 2018,Winter,2018
Andrey LARKOV,PyeongChang 2018,Cross Country Skiing,Men’s 50km Mass Start Classic,BRONZE,Olympic Athletes from Russia,Republic of Korea,PyeongChang 2018,Winter,2018
Yulia BELORUKOVA,PyeongChang 2018,Cross Country Skiing,Ladies’ Sprint Classic,BRONZE,Olympic Athletes from Russia,Republic of Korea,PyeongChang 2018,Winter,2018
Mikael KINGSBURY,Sochi 2014,Freestyle Skiing,Moguls men,SILVER,Canada,Russian Federation,Sochi 2014,Winter,2014
Kevin ROLLAND,Sochi 2014,Freestyle Skiing,Ski Halfpipe men,BRONZE,France,Russian Federation,Sochi 2014,Winter,2014
David WISE,Sochi 2014,Freestyle Skiing,Ski Halfpipe men,GOLD,United States of America,Russian Federation,Sochi 2014,Winter,2014
Gus KENWORTHY,Sochi 2014,Freestyle Skiing,Ski Slopestyle men,SILVER,United States of America,Russian Federation,Sochi 2014,Winter,2014
Nicholas GOEPPER,Sochi 2014,Freestyle Skiing,Ski Slopestyle men,BRONZE,United States of America,Russian Federation,Sochi 2014,Winter,2014
Jean Frederic CHAPUIS,Sochi 2014,Freestyle Skiing,Ski Cross men,GOLD,France,Russian Federation,Sochi 2014,Winter,2014
Justine DUFOUR-LAPOINTE,Sochi 2014,Freestyle Skiing,Moguls women,GOLD,Canada,Russian Federation,Sochi 2014,Winter,2014
Marielle THOMPSON,Sochi 2014,Freestyle Skiing,Ski Cross women,GOLD,Canada,Russian Federation,Sochi 2014,Winter,2014
Devin LOGAN,Sochi 2014,Freestyle Skiing,Ski Slopestyle women,SILVER,United States of America,Russian Federation,Sochi 2014,Winter,2014
Kexin FAN,Sochi 2014,Short Track Speed Skating,1000m women,SILVER,People's Republic of China,Russian Federation,Sochi 2014,Winter,2014
Dajing WU,Sochi 2014,Short Track Speed Skating,500m men,SILVER,People's Republic of China,Russian Federation,Sochi 2014,Winter,2014
Chloe TRESPEUCH,Sochi 2014,Snowboard,Snowboard Cross women,BRONZE,France,Russian Federation,Sochi 2014,Winter,2014
Vic WILD,Sochi 2014,Snowboard,Giant parallel slalom men,GOLD,Russian Federation,Russian Federation,Sochi 2014,Winter,2014
Jamie ANDERSON,Sochi 2014,Snowboard,Slopestyle women,GOLD,United States of America,Russian Federation,Sochi 2014,Winter,2014
Enni RUKAJARVI,Sochi 2014,Snowboard,Slopestyle women,SILVER,Finland,Russian Federation,Sochi 2014,Winter,2014
Mark MCMORRIS,Sochi 2014,Snowboard,Slopestyle men,BRONZE,Canada,Russian Federation,Sochi 2014,Winter,2014
Ayumu HIRANO,Sochi 2014,Snowboard,Half-pipe men,SILVER,Japan,Russian Federation,Sochi 2014,Winter,2014
Patrizia KUMMER,Sochi 2014,Snowboard,Giant parallel slalom women,GOLD,Switzerland,Russian Federation,Sochi 2014,Winter,2014
Julia DUJMOVITS,Sochi 2014,Snowboard,Parallel slalom women,GOLD,Austria,Russian Federation,Sochi 2014,Winter,2014
Daniela IRASCHKO-STOLZ,Sochi 2014,Ski Jumping,Normal Hill Individual women,SILVER,Austria,Russian Federation,Sochi 2014,Winter,2014
Yuzuru HANYU,Sochi 2014,Figure skating,Individual men,GOLD,Japan,Russian Federation,Sochi 2014,Winter,2014
Tiril ECKHOFF,Sochi 2014,Biathlon,12.5km mass start women,BRONZE,Norway,Russian Federation,Sochi 2014,Winter,2014
Erik LESSER,Sochi 2014,Biathlon,20km men,SILVER,Germany,Russian Federation,Sochi 2014,Winter,2014
Henrik KRISTOFFERSEN,Sochi 2014,Alpine Skiing,slalom men,BRONZE,Norway,Russian Federation,Sochi 2014,Winter,2014
Alexis PINTURAULT,Sochi 2014,Alpine Skiing,giant slalom men,BRONZE,France,Russian Federation,Sochi 2014,Winter,2014
Matthias MAYER,Sochi 2014,Alpine Skiing,downhill men,GOLD,Austria,Russian Federation,Sochi 2014,Winter,2014
Lara GUT - BEHRAMI,Sochi 2014,Alpine Skiing,downhill women,BRONZE,Switzerland,Russian Federation,Sochi 2014,Winter,2014
