Athlete Name,First Game,Sport,Sport Event,Medal Won,Home Country,Host Country,Game Name,Game Season,Year
Mikaela SHIFFRIN,Sochi 2014,Alpine Skiing,slalom women,GOLD,United States of America,Russian Federation,Sochi 2014,Winter,2014
Elena NIKITINA,Sochi 2014,Skeleton,Individual women,BRONZE,Russian Federation,Russian Federation,Sochi 2014,Winter,2014
Jorrit BERGSMA,Sochi 2014,Speed skating,5000m men,BRONZE,Netherlands,Russian Federation,Sochi 2014,Winter,2014
Joergen GRAABAK,Sochi 2014,Nordic Combined,Individual LH men,GOLD,Norway,Russian Federation,Sochi 2014,Winter,2014
Lizzy YARNOLD,Sochi 2014,Skeleton,Individual women,GOLD,Great Britain,Russian Federation,Sochi 2014,Winter,2014
Matt ANTOINE,Sochi 2014,Skeleton,Individual men,BRONZE,United States of America,Russian Federation,Sochi 2014,Winter,2014
Hong ZHANG,Sochi 2014,Speed skating,1000m women,GOLD,People's Republic of China,Russian Federation,Sochi 2014,Winter,2014
Lotte VAN BEEK,Sochi 2014,Speed skating,1500m women,BRONZE,Netherlands,Russian Federation,Sochi 2014,Winter,2014
Koen VERWEIJ,Sochi 2014,Speed skating,1500m men,SILVER,Netherlands,Russian Federation,Sochi 2014,Winter,2014
Nikolay OLYUNIN,Sochi 2014,Snowboard,Snowboard Cross men,SILVER,Russian Federation,Russian Federation,Sochi 2014,Winter,2014
Eva SAMKOVA,Sochi 2014,Snowboard,Snowboard Cross women,GOLD,Czech Republic,Russian Federation,Sochi 2014,Winter,2014
Taku HIRAOKA,Sochi 2014,Snowboard,Half-pipe men,BRONZE,Japan,Russian Federation,Sochi 2014,Winter,2014
Dara HOWELL,Sochi 2014,Freestyle Skiing,Ski Slopestyle women,GOLD,Canada,Russian Federation,Sochi 2014,Winter,2014
Kim LAMARRE,Sochi 2014,Freestyle Skiing,Ski Slopestyle women,BRONZE,Canada,Russian Federation,Sochi 2014,Winter,2014
Mike RIDDLE,Sochi 2014,Freestyle Skiing,Ski Halfpipe men,SILVER,Canada,Russian Federation,Sochi 2014,Winter,2014
Marie MARTINOD,Sochi 2014,Freestyle Skiing,Ski Halfpipe women,SILVER,France,Russian Federation,Sochi 2014,Winter,2014
Ayana ONOZUKA,Sochi 2014,Freestyle Skiing,Ski Halfpipe women,BRONZE,Japan,Russian Federation,Sochi 2014,Winter,2014
Maddie BOWMAN,Sochi 2014,Freestyle Skiing,Ski Halfpipe women,GOLD,United States of America,Russian Federation,Sochi 2014,Winter,2014
Arnaud BOVOLENTA,Sochi 2014,Freestyle Skiing,Ski Cross men,SILVER,France,Russian Federation,Sochi 2014,Winter,2014
Fabian RIESSLE,Sochi 2014,Nordic Combined,Individual LH men,BRONZE,Germany,Russian Federation,Sochi 2014,Winter,2014
Carina VOGT,Sochi 2014,Ski Jumping,Normal Hill Individual women,GOLD,Germany,Russian Federation,Sochi 2014,Winter,2014
Suk Hee SHIM,Sochi 2014,Short Track Speed Skating,1000m women,BRONZE,Republic of Korea,Russian Federation,Sochi 2014,Winter,2014
Charle COURNOYER,Sochi 2014,Short Track Speed Skating,500m men,BRONZE,Canada,Russian Federation,Sochi 2014,Winter,2014
Tianyu HAN,Sochi 2014,Short Track Speed Skating,1500m men,SILVER,People's Republic of China,Russian Federation,Sochi 2014,Winter,2014
Ingvild Flugstad OESTBERG,Sochi 2014,Cross Country Skiing,sprint 15km women,SILVER,Norway,Russian Federation,Sochi 2014,Winter,2014
Heidi WENG,Sochi 2014,Cross Country Skiing,Skiathlon 7.5+7.5km women,BRONZE,Norway,Russian Federation,Sochi 2014,Winter,2014
Jean Guillaume BEATRIX,Sochi 2014,Biathlon,12.5km pursuit men,BRONZE,France,Russian Federation,Sochi 2014,Winter,2014
Magnus KROG,Sochi 2014,Nordic Combined,Individual men,BRONZE,Norway,Russian Federation,Sochi 2014,Winter,2014
Jianrou LI,Sochi 2014,Short Track Speed Skating,500m women,GOLD,People's Republic of China,Russian Federation,Sochi 2014,Winter,2014
Olga GRAF,Sochi 2014,Speed skating,3000m women,BRONZE,Russian Federation,Russian Federation,Sochi 2014,Winter,2014
Michel MULDER,Sochi 2014,Speed skating,1000m men,BRONZE,Netherlands,Russian Federation,Sochi 2014,Winter,2014
Ilia CHERNOUSOV,Sochi 2014,Cross Country Skiing,50km men,BRONZE,Russian Federation,Russian Federation,Sochi 2014,Winter,2014
Adelina SOTNIKOVA,Sochi 2014,Figure skating,Individual women,GOLD,Russian Federation,Russian Federation,Sochi 2014,Winter,2014
Coline MATTEL,Sochi 2014,Ski Jumping,Normal Hill Individual women,BRONZE,France,Russian Federation,Sochi 2014,Winter,2014
Kaitlyn FARRINGTON,Sochi 2014,Snowboard,Half-pipe women,GOLD,United States of America,Russian Federation,Sochi 2014,Winter,2014
Jenny JONES,Sochi 2014,Snowboard,Slopestyle women,BRONZE,Great Britain,Russian Federation,Sochi 2014,Winter,2014
Sage KOTSENBURG,Sochi 2014,Snowboard,Slopestyle men,GOLD,United States of America,Russian Federation,Sochi 2014,Winter,2014
Alex DEIBOLD,Sochi 2014,Snowboard,Snowboard Cross men,BRONZE,United States of America,Russian Federation,Sochi 2014,Winter,2014
Jonathan MIDOL,Sochi 2014,Freestyle Skiing,Ski Cross men,BRONZE,France,Russian Federation,Sochi 2014,Winter,2014
Joss CHRISTENSEN,Sochi 2014,Freestyle Skiing,Ski Slopestyle men,GOLD,United States of America,Russian Federation,Sochi 2014,Winter,2014
Benjamin KARL,Vancouver 2010,Snowboard,Giant parallel slalom men,SILVER,Austria,Canada,Vancouver 2010,Winter,2010
Felix LOCH,Vancouver 2010,Luge,Singles men,GOLD,Germany,Canada,Vancouver 2010,Winter,2010
Natalie GEISENBERGER,Vancouver 2010,Luge,Singles women,BRONZE,Germany,Canada,Vancouver 2010,Winter,2010
Giuliano RAZZOLI,Vancouver 2010,Alpine Skiing,slalom men,GOLD,Italy,Canada,Vancouver 2010,Winter,2010
Charlotte KALLA,Vancouver 2010,Cross Country Skiing,10km women,GOLD,Sweden,Canada,Vancouver 2010,Winter,2010
Dario COLOGNA,Vancouver 2010,Cross Country Skiing,15km men,GOLD,Switzerland,Canada,Vancouver 2010,Winter,2010
Seung Hoon LEE,Vancouver 2010,Speed skating,10000m men,GOLD,Republic of Korea,Canada,Vancouver 2010,Winter,2010
Laurine VAN RIESSEN,Vancouver 2010,Speed skating,1000m women,BRONZE,Netherlands,Canada,Vancouver 2010,Winter,2010
Tae-Bum MO,Vancouver 2010,Speed skating,1000m men,SILVER,Republic of Korea,Canada,Vancouver 2010,Winter,2010
Seung-Hi PARK,Vancouver 2010,Short Track Speed Skating,1000m women,BRONZE,Republic of Korea,Canada,Vancouver 2010,Winter,2010
Martin FOURCADE,Vancouver 2010,Biathlon,15km mass start men,SILVER,France,Canada,Vancouver 2010,Winter,2010
Anastasiya KUZMINA,Vancouver 2010,Biathlon,75km women,GOLD,Slovakia,Canada,Vancouver 2010,Winter,2010
Darya DOMRACHEVA,Vancouver 2010,Biathlon,15km women,BRONZE,Belarus,Canada,Vancouver 2010,Winter,2010
Marie DORIN HABERT,Vancouver 2010,Biathlon,75km women,BRONZE,France,Canada,Vancouver 2010,Winter,2010
Peetu PIIROINEN,Vancouver 2010,Snowboard,Half-pipe men,SILVER,Finland,Canada,Vancouver 2010,Winter,2010
Bernhard GRUBER,Vancouver 2010,Nordic Combined,Individual sprint men,BRONZE,Austria,Canada,Vancouver 2010,Winter,2010
Gregor SCHLIERENZAUER,Vancouver 2010,Ski Jumping,Large Hill Individual men,BRONZE,Austria,Canada,Vancouver 2010,Winter,2010
Marianne ST GELAIS,Vancouver 2010,Short Track Speed Skating,500m women,SILVER,Canada,Canada,Vancouver 2010,Winter,2010
Yang ZHOU,Vancouver 2010,Short Track Speed Skating,1500m women,GOLD,People's Republic of China,Canada,Vancouver 2010,Winter,2010
J R CELSKI,Vancouver 2010,Short Track Speed Skating,1500m men,BRONZE,United States of America,Canada,Vancouver 2010,Winter,2010
Carlo JANKA,Vancouver 2010,Alpine Skiing,giant slalom men,GOLD,Switzerland,Canada,Vancouver 2010,Winter,2010
Andrew WEIBRECHT,Vancouver 2010,Alpine Skiing,super-G men,BRONZE,United States of America,Canada,Vancouver 2010,Winter,2010
Viktoria REBENSBURG,Vancouver 2010,Alpine Skiing,giant slalom women,GOLD,Germany,Canada,Vancouver 2010,Winter,2010
Marcus HELLNER,Vancouver 2010,Cross Country Skiing,Skiathlon 15km  15km men,GOLD,Sweden,Canada,Vancouver 2010,Winter,2010
Anna HAAG,Vancouver 2010,Cross Country Skiing,Combined 7.5 + 7.5km mass start women,SILVER,Sweden,Canada,Vancouver 2010,Winter,2010
Evgeny USTYUGOV,Vancouver 2010,Biathlon,15km mass start men,GOLD,Russian Federation,Canada,Vancouver 2010,Winter,2010
Marie Laure BRUNET,Vancouver 2010,Biathlon,10km pursuit women,BRONZE,France,Canada,Vancouver 2010,Winter,2010
