country,country_code,gold_Medal_Count,silver_Medal_Count,bronze_Medal_Count,point_value,average_GDP,average_GDP_ByTenBillion,Annual_temp,gold_point_value,silver_point_value,bronze_point_value,prop_gold,prop_silver,prop_bronze
United States of America,USA,781,690,619,4342,7935588709677.42,793.56,6.75,2343,1380,619,0.5396130815292491,0.31782588668816214,0.14256103178258867
Soviet Union,URS,303,252,247,1660,996461764705.88,99.65,-6.32,909,504,247,0.5475903614457831,0.3036144578313253,0.14879518072289158
People's Republic of China,CHN,196,147,140,1022,2820586296706.61,282.06,6.33,588,294,140,0.5753424657534246,0.2876712328767123,0.136986301369863
Great Britain,GBR,174,203,220,1148,1286106371253.47,128.61,8.31,522,406,220,0.4547038327526132,0.35365853658536583,0.1916376306620209
Japan,JPN,151,119,147,838,2882337232190.48,288.23,10.36,453,238,147,0.5405727923627685,0.2840095465393795,0.17541766109785203
Italy,ITA,151,120,150,843,1018543347726.24,101.85,11.5,453,240,150,0.5373665480427047,0.2846975088967972,0.17793594306049823
France,FRA,151,171,173,968,1281130301583.65,128.11,10.54,453,342,173,0.46797520661157027,0.35330578512396693,0.1787190082644628
Hungary,HUN,133,113,126,751,101663183275.23,10.17,10.06,399,226,126,0.5312916111850865,0.3009320905459387,0.1677762982689747
Germany,GER,127,175,190,921,2097333173076.92,209.73,8.5,381,350,190,0.41368078175895767,0.3800217155266015,0.20629750271444083
Russian Federation,RUS,118,99,125,677,996461764705.88,99.65,-6.32,354,198,125,0.5228951255539144,0.29246676514032494,0.18463810930576072
Australia,AUS,111,111,133,688,483268699600.16,48.33,21.51,333,222,133,0.48401162790697677,0.3226744186046512,0.1933139534883721
Sweden,SWE,105,117,133,682,249574761956.68,24.96,1.55,315,234,133,0.46187683284457476,0.34310850439882695,0.19501466275659823
German Democratic Republic (Germany),GDR,104,91,105,599,2097333173076.92,209.73,8.5,312,182,105,0.5208681135225376,0.3038397328881469,0.17529215358931552
Finland,FIN,92,79,96,530,120030304982.23,12.0,1.35,276,158,96,0.5207547169811321,0.2981132075471698,0.1811320754716981
Cuba,CUB,77,60,74,425,39031792089.12,3.9,25.13,231,120,74,0.5435294117647059,0.2823529411764706,0.17411764705882352
Republic of Korea,KOR,69,73,76,429,521507589308.97,52.15,10.66,207,146,76,0.4825174825174825,0.34032634032634035,0.17715617715617715
