name,gender,country,athlete_index,athletes_sent,athletes_total,athlete_%
BERGSMA Jorrit,Male,Netherlands,1,21,41,51.21951219512195
BERRA Reto,Male,Switzerland,1,95,169,56.213017751479285
BERRY Joos,Male,Switzerland,1,95,169,56.213017751479285
BERTSCHY Christoph,Male,Switzerland,1,95,169,56.213017751479285
BERULAVA Luka,Male,Georgia,1,5,9,55.55555555555556
BERZINS Gints,Male,Latvia,1,50,61,81.9672131147541
BERZINS Reinis,Male,Latvia,1,50,61,81.9672131147541
BI Ye,Male,People's Republic of China,1,95,182,52.197802197802204
BICKNER Kevin,Male,United States of America,1,116,225,51.55555555555556
BIDAR Martin,Male,Czech Republic,1,59,115,51.30434782608696
BIERI Cyril,Male,Switzerland,1,95,169,56.213017751479285
BILOTTI Lorenzo,Male,Italy,1,72,119,60.50420168067227
BILOUS Finn,Male,New Zealand,1,9,15,60.0
BILYALOV Timur,Male,ROC,1,108,217,49.76958525345622
BINDILATTI Edson Luques,Male,Brazil,1,6,10,60.0
BIONAZ Didier,Male,Italy,1,72,119,60.50420168067227
BIRKNER de MIGUEL Tomas,Male,Argentina,1,2,6,33.33333333333333
BITTNER Dominik,Male,Germany,1,96,148,64.86486486486487
BJOERNSTAD Espen,Male,Norway,1,54,84,64.28571428571429
BJORNINEN Hannes,Male,Finland,1,51,96,53.125
BLASER Andrew,Male,United States of America,1,116,225,51.55555555555556
BLOEMEN Ted-Jan,Male,Canada,1,109,215,50.697674418604656
BLONDEAU Gael,Male,France,1,50,86,58.139534883720934
BLUNCK Aaron,Male,United States of America,1,116,225,51.55555555555556
BOE Johannes Thingnes,Male,Norway,1,54,84,64.28571428571429
BOE Tarjei,Male,Norway,1,54,84,64.28571428571429
BOEDKER Mikkel,Male,Denmark,1,34,63,53.96825396825397
BOEGL Lucas,Male,Germany,1,96,148,64.86486486486487
BOESCH Fabian,Male,Switzerland,1,95,169,56.213017751479285
BOESIGER Jonas,Male,Switzerland,1,95,169,56.213017751479285
BOGDANOV Andrei,Male,ROC,1,108,217,49.76958525345622
BOHNACKER Daniel,Male,Germany,1,96,148,64.86486486486487
BOLGER Kevin,Male,United States of America,1,116,225,51.55555555555556
BOLSHUNOV Alexander,Male,ROC,1,108,217,49.76958525345622
BOLTON Cameron,Male,Australia,1,21,44,47.72727272727273
BORMOLINI Thomas,Male,Italy,1,72,119,60.50420168067227
BORTOLAS Iacopo,Male,Italy,1,72,119,60.50420168067227
BOSA David,Male,Italy,1,72,119,60.50420168067227
BOSKER Marcel,Male,Netherlands,1,21,41,51.21951219512195
BOTS Martins,Male,Latvia,1,50,61,81.9672131147541
BOWMAN Noah,Male,Canada,1,109,215,50.697674418604656
BOYD-CLOWES Mackenzie,Male,Canada,1,109,215,50.697674418604656
BOZZOLO Loan,Male,France,1,50,86,58.139534883720934
BRAATHEN Lucas,Male,Norway,1,54,84,64.28571428571429
BRANCAL Ricardo,Male,Portugal,1,2,3,66.66666666666666
BRANDT Marcel,Male,Germany,1,96,148,64.86486486486487
BREITFUSS KAMMERLANDER Simon,Male,Bolivia,1,2,2,100.0
BRENNSTEINER Stefan,Male,Austria,1,64,105,60.952380952380956
BRESADOLA Giovanni,Male,Italy,1,72,119,60.50420168067227
BREZINA Michal,Male,Czech Republic,1,59,115,51.30434782608696
BRIGUET Robin,Male,Switzerland,1,95,169,56.213017751479285
BRISSON Brendan,Male,United States of America,1,116,225,51.55555555555556
BRITSCHGI Lukas,Male,Switzerland,1,95,169,56.213017751479285
BRODIN Daniel,Male,Sweden,1,64,118,54.23728813559322
BRODKA Zbigniew,Male,Poland,1,27,57,47.368421052631575
BROME Mathias,Male,Sweden,1,64,118,54.23728813559322
BROWN Axel,Male,Trinidad and Tobago,1,2,2,100.0
BROWN Jake,Male,United States of America,1,116,225,51.55555555555556
BROWN Jason,Male,United States of America,1,116,225,51.55555555555556
