name,gender,country,discipline,discipline_code,medal_type,athlete_index,athletes_sent,athletes_total,athlete_%,medal_count
BAUER Florian,Male,Germany,Bobsleigh,BOB,Silver,1,105,161,65.21739130434783,37
BAUER Florian,Male,Germany,Bobsleigh,BOB,Silver,1,105,161,65.21739130434783,37
BAUMANN Jonas,Male,Switzerland,Cross-Country Skiing,CCS,,1,95,173,54.91329479768786,5
BAUMANN Romed,Male,Germany,Alpine Skiing,ALP,,1,105,161,65.21739130434783,37
BAUMEISTER Stefan,Male,Germany,Snowboard,SBD,,1,105,161,65.21739130434783,37
BAUMGARTNER Nick,Male,United States of America,Snowboard,SBD,Gold,1,118,231,51.082251082251084,20
BAUMGARTNER Patrick,Male,Italy,Bobsleigh,BOB,,1,76,127,59.84251968503938,13
BEAULIEU Sebastien,Male,Canada,Snowboard,SBD,,1,113,223,50.672645739910315,28
BEAUVAIS Cesar,Male,Belgium,Biathlon,BTH,,1,11,19,57.89473684210527,1
BECKERT Patrick,Male,Germany,Speed Skating,SSK,,1,105,161,65.21739130434783,37
BELCHOS Jordan,Male,Canada,Speed Skating,SSK,,1,113,223,50.672645739910315,28
BELLINGHAM Phil,Male,Australia,Cross-Country Skiing,CCS,,1,21,44,47.72727272727273,1
BENECKEN Sascha,Male,Germany,Luge,LUG,Silver,1,105,161,65.21739130434783,37
BENGTSSON Lukas,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
BENIERS Matty,Male,United States of America,Ice Hockey,IHO,,1,118,231,51.082251082251084,20
BENNETT Bryce,Male,United States of America,Alpine Skiing,ALP,,1,118,231,51.082251082251084,20
BERG Paul,Male,Germany,Snowboard,SBD,,1,105,161,65.21739130434783,37
BERGMANN Lean,Male,Germany,Ice Hockey,IHO,,1,105,161,65.21739130434783,37
BERGSMA Jorrit,Male,Netherlands,Speed Skating,SSK,,1,23,51,45.09803921568628,5
BERRA Reto,Male,Switzerland,Ice Hockey,IHO,,1,95,173,54.91329479768786,5
BERRY Joos,Male,Switzerland,Freestyle Skiing,FRS,,1,95,173,54.91329479768786,5
BERTSCHY Christoph,Male,Switzerland,Ice Hockey,IHO,,1,95,173,54.91329479768786,5
BERULAVA Luka,Male,Georgia,Figure Skating,FSK,,1,5,9,55.55555555555556,0
BERZINS Gints,Male,Latvia,Luge,LUG,,1,50,61,81.9672131147541,3
BERZINS Reinis,Male,Latvia,Short Track Speed Skating,STK,,1,50,61,81.9672131147541,3
BI Ye,Male,People's Republic of China,Snowboard,SBD,,1,98,191,51.30890052356021,11
BICKNER Kevin,Male,United States of America,Ski Jumping,SJP,,1,118,231,51.082251082251084,20
BIDAR Martin,Male,Czech Republic,Figure Skating,FSK,,1,59,115,51.30434782608696,0
BIERI Cyril,Male,Switzerland,Bobsleigh,BOB,,1,95,173,54.91329479768786,5
BILOTTI Lorenzo,Male,Italy,Bobsleigh,BOB,,1,76,127,59.84251968503938,13
BILOUS Finn,Male,New Zealand,Freestyle Skiing,FRS,,1,9,16,56.25,1
BILYALOV Timur,Male,ROC,Ice Hockey,IHO,Silver,1,119,235,50.638297872340424,60
BINDILATTI Edson Luques,Male,Brazil,Bobsleigh,BOB,,1,6,10,60.0,0
BIONAZ Didier,Male,Italy,Biathlon,BTH,,1,76,127,59.84251968503938,13
BIRKNER de MIGUEL Tomas,Male,Argentina,Alpine Skiing,ALP,,1,2,6,33.33333333333333,0
BITTNER Dominik,Male,Germany,Ice Hockey,IHO,,1,105,161,65.21739130434783,37
BJOERNSTAD Espen,Male,Norway,Nordic Combined,NCB,Gold,1,70,108,64.81481481481481,43
BJORNINEN Hannes,Male,Finland,Ice Hockey,IHO,Gold,1,53,99,53.535353535353536,29
BLASER Andrew,Male,United States of America,Skeleton,SKN,,1,118,231,51.082251082251084,20
BLOEMEN Ted-Jan,Male,Canada,Speed Skating,SSK,,1,113,223,50.672645739910315,28
BLONDEAU Gael,Male,France,Nordic Combined,NCB,,1,55,92,59.78260869565217,17
BLUNCK Aaron,Male,United States of America,Freestyle Skiing,FRS,,1,118,231,51.082251082251084,20
BOE Johannes Thingnes,Male,Norway,Biathlon,BTH,Gold,1,70,108,64.81481481481481,43
BOE Johannes Thingnes,Male,Norway,Biathlon,BTH,Bronze,1,70,108,64.81481481481481,43
BOE Johannes Thingnes,Male,Norway,Biathlon,BTH,Gold,1,70,108,64.81481481481481,43
BOE Johannes Thingnes,Male,Norway,Biathlon,BTH,Gold,1,70,108,64.81481481481481,43
BOE Johannes Thingnes,Male,Norway,Biathlon,BTH,Gold,1,70,108,64.81481481481481,43
BOE Tarjei,Male,Norway,Biathlon,BTH,Gold,1,70,108,64.81481481481481,43
BOE Tarjei,Male,Norway,Biathlon,BTH,Bronze,1,70,108,64.81481481481481,43
BOE Tarjei,Male,Norway,Biathlon,BTH,Silver,1,70,108,64.81481481481481,43
BOE Tarjei,Male,Norway,Biathlon,BTH,Gold,1,70,108,64.81481481481481,43
BOEDKER Mikkel,Male,Denmark,Ice Hockey,IHO,,1,34,63,53.96825396825397,0
BOEGL Lucas,Male,Germany,Cross-Country Skiing,CCS,,1,105,161,65.21739130434783,37
BOESCH Fabian,Male,Switzerland,Freestyle Skiing,FRS,,1,95,173,54.91329479768786,5
BOESIGER Jonas,Male,Switzerland,Snowboard,SBD,,1,95,173,54.91329479768786,5
BOGDANOV Andrei,Male,ROC,Luge,LUG,,1,119,235,50.638297872340424,60
BOHNACKER Daniel,Male,Germany,Freestyle Skiing,FRS,,1,105,161,65.21739130434783,37
BOLGER Kevin,Male,United States of America,Cross-Country Skiing,CCS,,1,118,231,51.082251082251084,20
BOLSHUNOV Alexander,Male,ROC,Cross-Country Skiing,CCS,Gold,1,119,235,50.638297872340424,60
BOLSHUNOV Alexander,Male,ROC,Cross-Country Skiing,CCS,Silver,1,119,235,50.638297872340424,60
BOLSHUNOV Alexander,Male,ROC,Cross-Country Skiing,CCS,Gold,1,119,235,50.638297872340424,60
BOLSHUNOV Alexander,Male,ROC,Cross-Country Skiing,CCS,Bronze,1,119,235,50.638297872340424,60
BOLSHUNOV Alexander,Male,ROC,Cross-Country Skiing,CCS,Gold,1,119,235,50.638297872340424,60
BOLTON Cameron,Male,Australia,Snowboard,SBD,,1,21,44,47.72727272727273,1
BORMOLINI Thomas,Male,Italy,Biathlon,BTH,,1,76,127,59.84251968503938,13
BORTOLAS Iacopo,Male,Italy,Nordic Combined,NCB,,1,76,127,59.84251968503938,13
BOSA David,Male,Italy,Speed Skating,SSK,,1,76,127,59.84251968503938,13
BOSKER Marcel,Male,Netherlands,Speed Skating,SSK,,1,23,51,45.09803921568628,5
BOTS Martins,Male,Latvia,Luge,LUG,Bronze,1,50,61,81.9672131147541,3
BOWMAN Noah,Male,Canada,Freestyle Skiing,FRS,,1,113,223,50.672645739910315,28
BOYD-CLOWES Mackenzie,Male,Canada,Ski Jumping,SJP,Bronze,1,113,223,50.672645739910315,28
BOZZOLO Loan,Male,France,Snowboard,SBD,,1,55,92,59.78260869565217,17
BRAATHEN Lucas,Male,Norway,Alpine Skiing,ALP,,1,70,108,64.81481481481481,43
BRANCAL Ricardo,Male,Portugal,Alpine Skiing,ALP,,1,2,3,66.66666666666666,0
BRANDT Marcel,Male,Germany,Ice Hockey,IHO,,1,105,161,65.21739130434783,37
BREITFUSS KAMMERLANDER Simon,Male,Bolivia,Alpine Skiing,ALP,,1,2,2,100.0,0
BRENNSTEINER Stefan,Male,Austria,Alpine Skiing,ALP,Gold,1,71,113,62.83185840707964,21
BRESADOLA Giovanni,Male,Italy,Ski Jumping,SJP,,1,76,127,59.84251968503938,13
BREZINA Michal,Male,Czech Republic,Figure Skating,FSK,,1,59,115,51.30434782608696,0
BRIGUET Robin,Male,Switzerland,Freestyle Skiing,FRS,,1,95,173,54.91329479768786,5
BRISSON Brendan,Male,United States of America,Ice Hockey,IHO,,1,118,231,51.082251082251084,20
BRITSCHGI Lukas,Male,Switzerland,Figure Skating,FSK,,1,95,173,54.91329479768786,5
BRODIN Daniel,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
BRODKA Zbigniew,Male,Poland,Speed Skating,SSK,,1,27,57,47.368421052631575,1
BROME Mathias,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
BROWN Axel,Male,Trinidad and Tobago,Bobsleigh,BOB,,1,2,2,100.0,0
BROWN Jake,Male,United States of America,Biathlon,BTH,,1,118,231,51.082251082251084,20
BROWN Jason,Male,United States of America,Figure Skating,FSK,,1,118,231,51.082251082251084,20
BRUCKMANN Felix,Male,Germany,Ice Hockey,IHO,,1,105,161,65.21739130434783,37
BRUGGER Janosch,Male,Germany,Cross-Country Skiing,CCS,,1,105,161,65.21739130434783,37
BRUGGISSER Phillip,Male,Denmark,Ice Hockey,IHO,,1,34,63,53.96825396825397,0
BUKARTS Rihards,Male,Latvia,Ice Hockey,IHO,,1,50,61,81.9672131147541,3
BUKARTS Roberts,Male,Latvia,Ice Hockey,IHO,,1,50,61,81.9672131147541,3
