name,gender,country,discipline,discipline_code,medal_type,athlete_index,athletes_sent,athletes_total,athlete_%,medal_count
DESCHWANDEN Gregor,Male,Switzerland,Ski Jumping,SJP,,1,95,173,54.91329479768786,5
DESHARNAIS David,Male,Canada,Ice Hockey,IHO,,1,113,223,50.672645739910315,28
DESMET Stijn,Male,Belgium,Short Track Speed Skating,STK,,1,11,19,57.89473684210527,1
DESTHIEUX Simon,Male,France,Biathlon,BTH,Silver,1,55,92,59.78260869565217,17
DETRAZ Romain,Male,Switzerland,Freestyle Skiing,FRS,,1,95,173,54.91329479768786,5
DEYANOV Simeon,Male,Bulgaria,Cross-Country Skiing,CCS,,1,10,16,62.5,0
Di GREGORIO Zachary,Male,United States of America,Luge,LUG,,1,118,231,51.082251082251084,20
DIAZ Adrian,Male,Spain,Figure Skating,FSK,,1,10,14,71.42857142857143,0
DIAZ Raphael,Male,Switzerland,Ice Hockey,IHO,,1,95,173,54.91329479768786,5
DICHOW Frederik,Male,Denmark,Ice Hockey,IHO,,1,34,63,53.96825396825397,0
DICKSON Adam,Male,Australia,Snowboard,SBD,,1,21,44,47.72727272727273,1
DICKSON SOMMERS Rodolfo Roberto,Male,Mexico,Alpine Skiing,ALP,,1,3,4,75.0,0
DIECK Tim,Male,Germany,Figure Skating,FSK,,1,105,161,65.21739130434783,37
DIERDORFF Mick,Male,United States of America,Snowboard,SBD,,1,118,231,51.082251082251084,20
DING Song,Male,People's Republic of China,Bobsleigh,BOB,,1,98,191,51.30890052356021,11
DION Pascal,Male,Canada,Short Track Speed Skating,STK,Gold,1,113,223,50.672645739910315,28
DJUSE Emil,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
DOBLER Jonas,Male,Germany,Cross-Country Skiing,CCS,,1,105,161,65.21739130434783,37
DOBRE Raul Constantin,Male,Romania,Bobsleigh,BOB,,1,13,21,61.904761904761905,0
DOHERTY Sean,Male,United States of America,Biathlon,BTH,,1,118,231,51.082251082251084,20
DOLL Benedikt,Male,Germany,Biathlon,BTH,,1,105,161,65.21739130434783,37
DOMBROVSKI Karol,Male,Lithuania,Biathlon,BTH,,1,8,13,61.53846153846154,0
DONAGGIO Leonardo,Male,Italy,Freestyle Skiing,FRS,,1,76,127,59.84251968503938,13
DONOHUE Zachary,Male,United States of America,Figure Skating,FSK,Silver,1,118,231,51.082251082251084,20
DONOHUE Zachary,Male,United States of America,Figure Skating,FSK,Bronze,1,118,231,51.082251082251084,20
DONSKIKH Daniil,Male,ROC,Snowboard,SBD,,1,119,235,50.638297872340424,60
DOTTI Tommaso,Male,Italy,Short Track Speed Skating,STK,Bronze,1,76,127,59.84251968503938,13
DOVZAN Miha,Male,Slovenia,Biathlon,BTH,,1,25,48,52.083333333333336,8
DROLET Remi,Male,Canada,Cross-Country Skiing,CCS,,1,113,223,50.672645739910315,28
DRUKAROV Andrej,Male,Lithuania,Alpine Skiing,ALP,,1,8,13,61.53846153846154,0
DRURY Kevin,Male,Canada,Freestyle Skiing,FRS,,1,113,223,50.672645739910315,28
DUBOIS Steven,Male,Canada,Short Track Speed Skating,STK,Silver,1,113,223,50.672645739910315,28
DUBOIS Steven,Male,Canada,Short Track Speed Skating,STK,Bronze,1,113,223,50.672645739910315,28
DUBOIS Steven,Male,Canada,Short Track Speed Skating,STK,Gold,1,113,223,50.672645739910315,28
DUBREUIL Laurent,Male,Canada,Speed Skating,SSK,Silver,1,113,223,50.672645739910315,28
DUDCHENKO Anton,Male,Ukraine,Biathlon,BTH,,1,24,46,52.17391304347826,1
DUFTER Joel,Male,Germany,Speed Skating,SSK,,1,105,161,65.21739130434783,37
DUKACH Anton,Male,Ukraine,Luge,LUG,,1,24,46,52.17391304347826,1
DUKURS Martins,Male,Latvia,Skeleton,SKN,,1,50,61,81.9672131147541,3
DUKURS Tomass,Male,Latvia,Skeleton,SKN,,1,50,61,81.9672131147541,3
DUMAIS Laurent,Male,Canada,Freestyle Skiing,FRS,,1,113,223,50.672645739910315,28
DUSEK Jakob,Male,Austria,Snowboard,SBD,,1,71,113,62.83185840707964,21
DVORAK Dominik,Male,Czech Republic,Bobsleigh,BOB,,1,59,115,51.30434782608696,0
DYRBYE Casper,Male,Denmark,Alpine Skiing,ALP,,1,34,63,53.96825396825397,0
DZERINS Andris,Male,Latvia,Ice Hockey,IHO,,1,50,61,81.9672131147541,3
DZIERKALS Martins,Male,Latvia,Ice Hockey,IHO,,1,50,61,81.9672131147541,3
DZIK Pavel,Male,Belarus,Freestyle Skiing,FRS,,1,11,28,39.285714285714285,1
ECKSCHLAGER Robert,Male,Austria,Bobsleigh,BOB,,1,71,113,62.83185840707964,21
EDER Simon,Male,Austria,Biathlon,BTH,,1,71,113,62.83185840707964,21
EDIN Niklas,Male,Sweden,Curling,CUR,Gold,1,66,126,52.38095238095239,12
EGGERT Toni,Male,Germany,Luge,LUG,Silver,1,105,161,65.21739130434783,37
EGUIBAR Lucas,Male,Spain,Snowboard,SBD,,1,10,14,71.42857142857143,0
EHLIZ Yasin,Male,Germany,Ice Hockey,IHO,,1,105,161,65.21739130434783,37
EIBOG Daniil,Male,ROC,Short Track Speed Skating,STK,,1,119,235,50.638297872340424,60
EINARSSON Snorri Eythor,Male,Iceland,Cross-Country Skiing,CCS,,1,3,5,60.0,0
EISENBICHLER Markus,Male,Germany,Ski Jumping,SJP,Bronze,1,105,161,65.21739130434783,37
ELISTRATOV Semen,Male,ROC,Short Track Speed Skating,STK,Bronze,1,119,235,50.638297872340424,60
ELLIS Morgan,Male,Canada,Ice Hockey,IHO,,1,113,223,50.672645739910315,28
ELOFSSON Felix,Male,Sweden,Freestyle Skiing,FRS,,1,66,126,52.38095238095239,12
ELOFSSON Oskar,Male,Sweden,Freestyle Skiing,FRS,,1,66,126,52.38095238095239,12
ENGEBRAATEN Hallgeir,Male,Norway,Speed Skating,SSK,Bronze,1,70,108,64.81481481481481,43
ENGEBRAATEN Hallgeir,Male,Norway,Speed Skating,SSK,Gold,1,70,108,64.81481481481481,43
ENZIE Blake,Male,Canada,Skeleton,SKN,,1,113,223,50.672645739910315,28
ERIC Strahinja,Male,Bosnia and Herzegovina,Cross-Country Skiing,CCS,,1,3,6,50.0,0
ERIKSSON Oskar,Male,Sweden,Curling,CUR,Bronze,1,66,126,52.38095238095239,12
ERIKSSON Oskar,Male,Sweden,Curling,CUR,Gold,1,66,126,52.38095238095239,12
ERMITS Kalev,Male,Estonia,Biathlon,BTH,,1,14,26,53.84615384615385,0
ESTEVE ALTIMIRAS Ireneu,Male,Andorra,Cross-Country Skiing,CCS,,1,2,5,40.0,0
ETXEZARRETA Adur,Male,Spain,Alpine Skiing,ALP,,1,10,14,71.42857142857143,0
EVELYN Mike,Male,Canada,Bobsleigh,BOB,,1,113,223,50.672645739910315,28
EVERBERG Dennis,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
FABBRI Marco,Male,Italy,Figure Skating,FSK,,1,76,127,59.84251968503938,13
FABER Brock,Male,United States of America,Ice Hockey,IHO,,1,118,231,51.082251082251084,20
FAISST Manuel,Male,Germany,Nordic Combined,NCB,Silver,1,105,161,65.21739130434783,37
FAIVRE Mathieu,Male,France,Alpine Skiing,ALP,Bronze,1,55,92,59.78260869565217,17
FAK Jakov,Male,Slovenia,Biathlon,BTH,,1,25,48,52.083333333333336,8
FAN Duoyao,Male,People's Republic of China,Luge,LUG,,1,98,191,51.30890052356021,11
FAN Haibin,Male,People's Republic of China,Nordic Combined,NCB,,1,98,191,51.30890052356021,11
FAN Xiaobing,Male,People's Republic of China,Snowboard,SBD,,1,98,191,51.30890052356021,11
FANTAZZINI Eric,Male,Italy,Bobsleigh,BOB,,1,76,127,59.84251968503938,13
FANTENBERG Oscar,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
FARRELL Sean,Male,United States of America,Ice Hockey,IHO,,1,118,231,51.082251082251084,20
FASSLER Adrian,Male,Switzerland,Bobsleigh,BOB,,1,95,173,54.91329479768786,5
FAVROT Thibaut,Male,France,Alpine Skiing,ALP,,1,55,92,59.78260869565217,17
FEDOTOV Ivan,Male,ROC,Ice Hockey,IHO,Silver,1,119,235,50.638297872340424,60
FELDERER Leon,Male,Italy,Luge,LUG,,1,76,127,59.84251968503938,13
FELDOREAN Andrei,Male,Romania,Ski Jumping,SJP,,1,13,21,61.904761904761905,0
FELICETTI Mirko,Male,Italy,Snowboard,SBD,,1,76,127,59.84251968503938,13
FELLER Manuel,Male,Austria,Alpine Skiing,ALP,,1,71,113,62.83185840707964,21
FELLNER Adam,Male,Czech Republic,Cross-Country Skiing,CCS,,1,59,115,51.30434782608696,0
FEMLING Peppe,Male,Sweden,Biathlon,BTH,,1,66,126,52.38095238095239,12
FENELEY William,Male,Great Britain,Freestyle Skiing,FRS,,1,27,49,55.10204081632652,5
FENTZ Paul,Male,Germany,Figure Skating,FSK,,1,105,161,65.21739130434783,37
FERCOQ Quentin,Male,France,Short Track Speed Skating,STK,,1,55,92,59.78260869565217,17
FERLAZZO Alexander,Male,Australia,Luge,LUG,,1,21,44,47.72727272727273,1
FERNANDEZ Yonathan Jesus,Male,Chile,Cross-Country Skiing,CCS,,1,2,4,50.0,0
FERRARI Filippo,Male,Italy,Snowboard,SBD,,1,76,127,59.84251968503938,13
FERRARO Landon,Male,Canada,Ice Hockey,IHO,,1,113,223,50.672645739910315,28
FERREIRA Alex,Male,United States of America,Freestyle Skiing,FRS,Bronze,1,118,231,51.082251082251084,20
FERSTL Josef,Male,Germany,Alpine Skiing,ALP,,1,105,161,65.21739130434783,37
FETTNER Manuel,Male,Austria,Ski Jumping,SJP,Silver,1,71,113,62.83185840707964,21
FETTNER Manuel,Male,Austria,Ski Jumping,SJP,Gold,1,71,113,62.83185840707964,21
FEUZ Beat,Male,Switzerland,Alpine Skiing,ALP,Gold,1,95,173,54.91329479768786,5
FILLON MAILLET Quentin,Male,France,Biathlon,BTH,Silver,1,55,92,59.78260869565217,17
FILLON MAILLET Quentin,Male,France,Biathlon,BTH,Gold,1,55,92,59.78260869565217,17
FILLON MAILLET Quentin,Male,France,Biathlon,BTH,Silver,1,55,92,59.78260869565217,17
FILLON MAILLET Quentin,Male,France,Biathlon,BTH,Gold,1,55,92,59.78260869565217,17
FILLON MAILLET Quentin,Male,France,Biathlon,BTH,Silver,1,55,92,59.78260869565217,17
FILPPULA Valtteri,Male,Finland,Ice Hockey,IHO,Gold,1,53,99,53.535353535353536,29
FIRAT Yusuf Emre,Male,Turkey,Cross-Country Skiing,CCS,,1,4,7,57.14285714285714,0
FISCHNALLER Dominik,Male,Italy,Luge,LUG,Bronze,1,76,127,59.84251968503938,13
FISCHNALLER Kevin,Male,Italy,Luge,LUG,,1,76,127,59.84251968503938,13
FISCHNALLER Roland,Male,Italy,Snowboard,SBD,,1,76,127,59.84251968503938,13
FISH Graeme,Male,Canada,Speed Skating,SSK,,1,113,223,50.672645739910315,28
FITZSIMONS Sean,Male,United States of America,Snowboard,SBD,,1,118,231,51.082251082251084,20
FIVA Alex,Male,Switzerland,Freestyle Skiing,FRS,Silver,1,95,173,54.91329479768786,5
FJALLSTROM Ludvig,Male,Sweden,Freestyle Skiing,FRS,,1,66,126,52.38095238095239,12
FLAHERTY William C.,Male,Puerto Rico,Alpine Skiing,ALP,,1,1,2,50.0,0
FLETCHER Taylor,Male,United States of America,Nordic Combined,NCB,,1,118,231,51.082251082251084,20
FOETTINGER Michael,Male,Austria,Cross-Country Skiing,CCS,,1,71,113,62.83185840707964,21
FOLIN Christian,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
FONTAINE Miha,Male,Canada,Freestyle Skiing,FRS,Bronze,1,113,223,50.672645739910315,28
FORA Michael,Male,Switzerland,Ice Hockey,IHO,,1,95,173,54.91329479768786,5
FORD Tommy,Male,United States of America,Alpine Skiing,ALP,,1,118,231,51.082251082251084,20
FOREHAND Mac,Male,United States of America,Freestyle Skiing,FRS,,1,118,231,51.082251082251084,20
FORFANG Johann Andre,Male,Norway,Ski Jumping,SJP,,1,70,108,64.81481481481481,43
FOSS-SOLEVAAG Sebastian,Male,Norway,Alpine Skiing,ALP,Bronze,1,70,108,64.81481481481481,43
FOSTER Lucas,Male,United States of America,Snowboard,SBD,,1,118,231,51.082251082251084,20
FRANJIC Janko,Male,Netherlands,Bobsleigh,BOB,,1,23,51,45.09803921568628,5
FRANJIC Jelen,Male,Netherlands,Bobsleigh,BOB,,1,23,51,45.09803921568628,5
FRANZ Max,Male,Austria,Alpine Skiing,ALP,,1,71,113,62.83185840707964,21
FRAUSCHER Armin,Male,Austria,Luge,LUG,,1,71,113,62.83185840707964,21
FRAZIER Brandon,Male,United States of America,Figure Skating,FSK,Silver,1,118,231,51.082251082251084,20
FREIBERGS Ralfs,Male,Latvia,Ice Hockey,IHO,,1,50,61,81.9672131147541,3
FRENZEL Eric,Male,Germany,Nordic Combined,NCB,Silver,1,105,161,65.21739130434783,37
FRIBERG Max,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
FRICK Lukas,Male,Switzerland,Ice Hockey,IHO,,1,95,173,54.91329479768786,5
FRIEDLI Simon,Male,Switzerland,Bobsleigh,BOB,,1,95,173,54.91329479768786,5
FRIEDRICH Francesco,Male,Germany,Bobsleigh,BOB,Gold,1,105,161,65.21739130434783,37
FRIEDRICH Francesco,Male,Germany,Bobsleigh,BOB,Gold,1,105,161,65.21739130434783,37
FRIMAN Niklas,Male,Finland,Ice Hockey,IHO,Gold,1,53,99,53.535353535353536,29
FRITZ Martin,Male,Austria,Nordic Combined,NCB,,1,71,113,62.83185840707964,21
FROLIK Michael,Male,Czech Republic,Ice Hockey,IHO,,1,59,115,51.30434782608696,0
FROSTAD Tormod,Male,Norway,Freestyle Skiing,FRS,,1,70,108,64.81481481481481,43
FU Jiang,Male,People's Republic of China,Ice Hockey,IHO,,1,98,191,51.30890052356021,11
FU Shuai,Male,People's Republic of China,Ice Hockey,IHO,,1,98,191,51.30890052356021,11
FURGER Roman,Male,Switzerland,Cross-Country Skiing,CCS,,1,95,173,54.91329479768786,5
FURUNO Satoshi,Male,Japan,Freestyle Skiing,FRS,,1,53,129,41.08527131782946,16
GAITIUKEVICH Rostislav,Male,ROC,Bobsleigh,BOB,,1,119,235,50.638297872340424,60
GALBRAITH Patrick,Male,Denmark,Ice Hockey,IHO,,1,34,63,53.96825396825397,0
GALIAKHMETOV Adil,Male,Kazakhstan,Short Track Speed Skating,STK,,1,17,34,50.0,0
GALIEV Stanislav,Male,ROC,Ice Hockey,IHO,Silver,1,119,235,50.638297872340424,60
GALLANT Brett,Male,Canada,Curling,CUR,Bronze,1,113,223,50.672645739910315,28
GALLIAMOV Aleksandr,Male,ROC,Figure Skating,FSK,Gold,1,119,235,50.638297872340424,60
GALLIAMOV Aleksandr,Male,ROC,Figure Skating,FSK,Bronze,1,119,235,50.638297872340424,60
GALMARINI Nevin,Male,Switzerland,Snowboard,SBD,,1,95,173,54.91329479768786,5
GALUNIN Artem,Male,ROC,Nordic Combined,NCB,,1,119,235,50.638297872340424,60
GANONG Travis,Male,United States of America,Alpine Skiing,ALP,,1,118,231,51.082251082251084,20
GAO Hongbo,Male,People's Republic of China,Snowboard,SBD,,1,98,191,51.30890052356021,11
GAO Tingyu,Male,People's Republic of China,Speed Skating,SSK,Gold,1,98,191,51.30890052356021,11
GASIENICA Patrick,Male,United States of America,Ski Jumping,SJP,,1,118,231,51.082251082251084,20
GASPARI Mattia,Male,Italy,Skeleton,SKN,,1,76,127,59.84251968503938,13
GASSNER Alexander,Male,Germany,Skeleton,SKN,,1,105,161,65.21739130434783,37
GATTI Matteo,Male,San Marino,Alpine Skiing,ALP,,1,1,2,50.0,0
GAUDET Arnaud,Male,Canada,Snowboard,SBD,,1,113,223,50.672645739910315,28
GEIGER Karl,Male,Germany,Ski Jumping,SJP,Bronze,1,105,161,65.21739130434783,37
GEIGER Karl,Male,Germany,Ski Jumping,SJP,Bronze,1,105,161,65.21739130434783,37
GEIGER Vinzenz,Male,Germany,Nordic Combined,NCB,Gold,1,105,161,65.21739130434783,37
GEIGER Vinzenz,Male,Germany,Nordic Combined,NCB,Silver,1,105,161,65.21739130434783,37
GELINAS-BEAULIEU Antoine,Male,Canada,Speed Skating,SSK,,1,113,223,50.672645739910315,28
GENNERO Lorenzo,Male,Italy,Snowboard,SBD,,1,76,127,59.84251968503938,13
GENONI Leonardo,Male,Switzerland,Ice Hockey,IHO,,1,95,173,54.91329479768786,5
GERARD Antoine,Male,France,Nordic Combined,NCB,,1,55,92,59.78260869565217,17
GERARD Redmond,Male,United States of America,Snowboard,SBD,,1,118,231,51.082251082251084,20
GERDZHIKOV Dimitar,Male,Bulgaria,Biathlon,BTH,,1,10,16,62.5,0
GERNAT Martin,Male,Slovakia,Ice Hockey,IHO,Bronze,1,37,50,74.0,25
GHIOTTO Davide,Male,Italy,Speed Skating,SSK,Bronze,1,76,127,59.84251968503938,13
GIACOMEL Tommaso,Male,Italy,Biathlon,BTH,,1,76,127,59.84251968503938,13
GIBSON Lewis,Male,Great Britain,Figure Skating,FSK,,1,27,49,55.10204081632652,5
GIEZENDANNER Blaise,Male,France,Alpine Skiing,ALP,,1,55,92,59.78260869565217,17
GIGUERE Samuel,Male,Canada,Bobsleigh,BOB,,1,113,223,50.672645739910315,28
GILL Liam,Male,Canada,Snowboard,SBD,,1,113,223,50.672645739910315,28
GILSON VIANNA JERONIMO Erick,Male,Brazil,Bobsleigh,BOB,,1,6,10,60.0,0
GIOVANELLA Mattia,Male,Italy,Curling,CUR,,1,76,127,59.84251968503938,13
GIOVANNINI Andrea,Male,Italy,Speed Skating,SSK,,1,76,127,59.84251968503938,13
GITLAN Marian,Male,Romania,Luge,LUG,,1,13,21,61.904761904761905,0
GLEESON Nick,Male,Great Britain,Bobsleigh,BOB,,1,27,49,55.10204081632652,5
GLEIRSCHER David,Male,Austria,Luge,LUG,,1,71,113,62.83185840707964,21
GLEIRSCHER Nico,Male,Austria,Luge,LUG,,1,71,113,62.83185840707964,21
GLUECK Markus,Male,Austria,Bobsleigh,BOB,,1,71,113,62.83185840707964,21
GLUKHOV Sergei,Male,ROC,Curling,CUR,,1,119,235,50.638297872340424,60
GOEPPER Nicholas,Male,United States of America,Freestyle Skiing,FRS,Silver,1,118,231,51.082251082251084,20
GOLBERG Paal,Male,Norway,Cross-Country Skiing,CCS,Silver,1,70,108,64.81481481481481,43
GOLD Taylor,Male,United States of America,Snowboard,SBD,,1,118,231,51.082251082251084,20
GOLOVATSIUK Ignat,Male,Belarus,Speed Skating,SSK,,1,11,28,39.285714285714285,1
GONIN Simone,Male,Italy,Curling,CUR,,1,76,127,59.84251968503938,13
GOOD Jasper,Male,United States of America,Nordic Combined,NCB,,1,118,231,51.082251082251084,20
GORBATCEVICH Aleksandr,Male,ROC,Luge,LUG,,1,119,235,50.638297872340424,60
GORDEEV Maksim,Male,Kyrgyzstan,Alpine Skiing,ALP,,1,1,1,100.0,0
GORIACHEV Daniil,Male,ROC,Curling,CUR,,1,119,235,50.638297872340424,60
GOUTT Yohan Goncalves,Male,Timor-Leste,Alpine Skiing,ALP,,1,1,1,100.0,0
GOW Christian,Male,Canada,Biathlon,BTH,,1,113,223,50.672645739910315,28
GOW Scott,Male,Canada,Biathlon,BTH,,1,113,223,50.672645739910315,28
GOWER Jack,Male,Ireland,Alpine Skiing,ALP,,1,4,6,66.66666666666666,0
GRAABAK Joergen,Male,Norway,Nordic Combined,NCB,Silver,1,70,108,64.81481481481481,43
GRAABAK Joergen,Male,Norway,Nordic Combined,NCB,Gold,1,70,108,64.81481481481481,43
GRAABAK Joergen,Male,Norway,Nordic Combined,NCB,Gold,1,70,108,64.81481481481481,43
GRAHAM Matt,Male,Australia,Freestyle Skiing,FRS,,1,21,44,47.72727272727273,1
GRANERUD Halvor Egner,Male,Norway,Ski Jumping,SJP,,1,70,108,64.81481481481481,43
GRANLUND Markus,Male,Finland,Ice Hockey,IHO,Gold,1,53,99,53.535353535353536,29
GRANT Alex,Male,Canada,Ice Hockey,IHO,,1,113,223,50.672645739910315,28
GRASSL Daniel,Male,Italy,Figure Skating,FSK,,1,76,127,59.84251968503938,13
GRATE Marcus,Male,Sweden,Cross-Country Skiing,CCS,,1,66,126,52.38095238095239,12
GRAZ Davide,Male,Italy,Cross-Country Skiing,CCS,,1,76,127,59.84251968503938,13
GRBOVIC Aleksandar,Male,Montenegro,Cross-Country Skiing,CCS,,1,2,3,66.66666666666666,0
GREIDERER Lukas,Male,Austria,Nordic Combined,NCB,Bronze,1,71,113,62.83185840707964,21
GRIGORENKO Mikhail,Male,ROC,Ice Hockey,IHO,Silver,1,119,235,50.638297872340424,60
GRITSYUK Arseni,Male,ROC,Ice Hockey,IHO,Silver,1,119,235,50.638297872340424,60
GROND Valerio,Male,Switzerland,Cross-Country Skiing,CCS,,1,95,173,54.91329479768786,5
GRONDIN Eliot,Male,Canada,Snowboard,SBD,Silver,1,113,223,50.672645739910315,28
GRONDIN Eliot,Male,Canada,Snowboard,SBD,Bronze,1,113,223,50.672645739910315,28
GRONLUND Timo Juhani,Male,Bolivia,Cross-Country Skiing,CCS,,1,2,2,100.0,0
GROTHEER Christopher,Male,Germany,Skeleton,SKN,Gold,1,105,161,65.21739130434783,37
GU Ao,Male,People's Republic of China,Snowboard,SBD,,1,98,191,51.30890052356021,11
GUARISE Matteo,Male,Italy,Figure Skating,FSK,,1,76,127,59.84251968503938,13
GUBSER Kim,Male,Switzerland,Freestyle Skiing,FRS,,1,95,173,54.91329479768786,5
GUDLEVSKIS Kristers,Male,Latvia,Ice Hockey,IHO,,1,50,61,81.9672131147541,3
GUIGONNAT Antonin,Male,France,Biathlon,BTH,,1,55,92,59.78260869565217,17
GUO Jianing,Male,People's Republic of China,Ice Hockey,IHO,,1,98,191,51.30890052356021,11
GUO Yuhao,Male,People's Republic of China,Nordic Combined,NCB,,1,98,191,51.30890052356021,11
GUSELI Valentino,Male,Australia,Snowboard,SBD,,1,21,44,47.72727272727273,1
GUSEV Nikita,Male,ROC,Ice Hockey,IHO,Silver,1,119,235,50.638297872340424,60
GUSHUE Brad,Male,Canada,Curling,CUR,Bronze,1,113,223,50.672645739910315,28
GUSTAFSON Jonathan,Male,United States of America,Luge,LUG,,1,118,231,51.082251082251084,20
GUSTAFSSON Erik,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
GUSTIK Maksim,Male,Belarus,Freestyle Skiing,FRS,,1,11,28,39.285714285714285,1
GUZIK Grzegorz,Male,Poland,Biathlon,BTH,,1,27,57,47.368421052631575,1
GYGAX Nicolas,Male,Switzerland,Freestyle Skiing,FRS,,1,95,173,54.91329479768786,5
HAAS Andreas,Male,Switzerland,Bobsleigh,BOB,,1,95,173,54.91329479768786,5
HAAS Gaetan,Male,Switzerland,Ice Hockey,IHO,,1,95,173,54.91329479768786,5
HAASER Raphael,Male,Austria,Alpine Skiing,ALP,,1,71,113,62.83185840707964,21
HABLUETZEL David,Male,Switzerland,Snowboard,SBD,,1,95,173,54.91329479768786,5
HAEGGSTROEM Johan,Male,Sweden,Cross-Country Skiing,CCS,,1,66,126,52.38095238095239,12
HAEMMERLE Alessandro,Male,Austria,Snowboard,SBD,Gold,1,71,113,62.83185840707964,21
HAFER Christoph,Male,Germany,Bobsleigh,BOB,Bronze,1,105,161,65.21739130434783,37
HAGER Patrick,Male,Germany,Ice Hockey,IHO,,1,105,161,65.21739130434783,37
HAKOLA Ristomatti,Male,Finland,Cross-Country Skiing,CCS,,1,53,99,53.535353535353536,29
HALFVARSSON Calle,Male,Sweden,Cross-Country Skiing,CCS,,1,66,126,52.38095238095239,12
HALL Alexander,Male,United States of America,Freestyle Skiing,FRS,Gold,1,118,231,51.082251082251084,20
HALL Brad,Male,Great Britain,Bobsleigh,BOB,,1,27,49,55.10204081632652,5
HAMADA Kaito,Male,Japan,Snowboard,SBD,,1,53,129,41.08527131782946,16
HAMELIN Charles,Male,Canada,Short Track Speed Skating,STK,Gold,1,113,223,50.672645739910315,28
HAMILTON Matt,Male,United States of America,Curling,CUR,,1,118,231,51.082251082251084,20
HAN Cong,Male,People's Republic of China,,FSK,Gold,1,2,191,1.0471204188481675,1
HAN Pengfei,Male,People's Republic of China,Ice Hockey,IHO,,1,98,191,51.30890052356021,11
HANDEI Oleh,Male,Ukraine,Short Track Speed Skating,STK,,1,24,46,52.17391304347826,1
HANYU Yuzuru,Male,Japan,Figure Skating,FSK,,1,53,129,41.08527131782946,16
HARA Daichi,Male,Japan,Freestyle Skiing,FRS,,1,53,129,41.08527131782946,16
HARATYK Mateusz,Male,Poland,Cross-Country Skiing,CCS,,1,27,57,47.368421052631575,1
HARDIE Grant,Male,Great Britain,Curling,CUR,Silver,1,27,49,55.10204081632652,5
HARJULA Tuomas,Male,Finland,Biathlon,BTH,,1,53,99,53.535353535353536,29
HARLAUT Henrik,Male,Sweden,Freestyle Skiing,FRS,Bronze,1,66,126,52.38095238095239,12
HARLE Teal,Male,Canada,Freestyle Skiing,FRS,,1,113,223,50.672645739910315,28
HARRINGTON Ben,Male,New Zealand,Freestyle Skiing,FRS,,1,9,16,56.25,1
HARTIKAINEN Teemu,Male,Finland,Ice Hockey,IHO,Gold,1,53,99,53.535353535353536,29
HARTWEG Niklas,Male,Switzerland,Biathlon,BTH,,1,95,173,54.91329479768786,5
HARUTYUNYAN Harutyun,Male,Armenia,Alpine Skiing,ALP,,1,3,6,50.0,0
HAUGAN Timon,Male,Norway,Alpine Skiing,ALP,Bronze,1,70,108,64.81481481481481,43
HAUTERVILLE Dorian,Male,France,Bobsleigh,BOB,,1,55,92,59.78260869565217,17
HE Binghan,Male,People's Republic of China,Freestyle Skiing,FRS,,1,98,191,51.30890052356021,11
HE Jinbo,Male,People's Republic of China,Freestyle Skiing,FRS,,1,98,191,51.30890052356021,11
HEDIGER Jovian,Male,Switzerland,Cross-Country Skiing,CCS,,1,95,173,54.91329479768786,5
HEINRICH Romain,Male,France,Bobsleigh,BOB,,1,55,92,59.78260869565217,17
HELLBERG Magnus,Male,Sweden,Ice Hockey,IHO,,1,66,126,52.38095238095239,12
HELLESON Drew,Male,United States of America,Ice Hockey,IHO,,1,118,231,51.082251082251084,20
HEMETSBERGER Daniel,Male,Austria,Alpine Skiing,ALP,,1,71,113,62.83185840707964,21
HENRICKSEN Dusty,Male,United States of America,Snowboard,SBD,,1,118,231,51.082251082251084,20
HENTGES Sam,Male,United States of America,Ice Hockey,IHO,,1,118,231,51.082251082251084,20
HEO Andrew,Male,United States of America,Short Track Speed Skating,STK,,1,118,231,51.082251082251084,20
HERASKEVYCH Vladyslav,Male,Ukraine,Skeleton,SKN,,1,24,46,52.17391304347826,1
HEROLA Ilkka,Male,Finland,Nordic Combined,NCB,,1,53,99,53.535353535353536,29
HERZOG Fabrice,Male,Switzerland,Ice Hockey,IHO,,1,95,173,54.91329479768786,5
HEWITT Dean,Male,Australia,Curling,CUR,,1,21,44,47.72727272727273,1
HIETANEN Juuso,Male,Finland,Ice Hockey,IHO,Gold,1,53,99,53.535353535353536,29
HIIDENSALO Olli,Male,Finland,,BTH,,1,1,99,1.0101010101010102,0
HILL Kevin,Male,Canada,Snowboard,SBD,,1,113,223,50.672645739910315,28
HIMMA Martin,Male,Estonia,Cross-Country Skiing,CCS,,1,14,26,53.84615384615385,0
HINCKFUSS Hugo,Male,Australia,Cross-Country Skiing,CCS,,1,21,44,47.72727272727273,1
HINTERMANN Niels,Male,Switzerland,Alpine Skiing,ALP,,1,95,173,54.91329479768786,5
HIRANO Ayumu,Male,Japan,Snowboard,SBD,Gold,1,53,129,41.08527131782946,16
