country,point_value
Norway,694
United States of America,534
Austria,405
Germany,398
Netherlands,286
Soviet Union,276
Canada,273
Sweden,254
Switzerland,253
Finland,243
France,218
Italy,191
German Democratic Republic (Germany),164
Russian Federation,161
Republic of Korea,135
